"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Rockfish group gopher",13,0,0,0,0,0,0,32,0,0,120,166,331,2000,"Fort Bragg"
"Rockfish group nearshore",0,0,0,0,0,0,0,0,102,0,0,0,102,2000,"Fort Bragg"
"Rockfish group red",0,0,0,0,0,0,0,9,0,0,0,0,9,2000,"Fort Bragg"
"Rockfish group rosefish",1743,141,493,7990,1740,7681,1800,4832,10801,3591,5016,631,46459,2000,"Fort Bragg"
"Rockfish group shelf",0,0,0,10,19,556,39,6,185,48,35,0,898,2000,"Fort Bragg"
"Rockfish group slope",7531,1047,341,10977,663,15741,11077,20727,36960,11642,50625,5236,172567,2000,"Fort Bragg"
"Rockfish group small",0,0,0,0,5,0,0,0,11,0,1,0,17,2000,"Fort Bragg"
"Rockfish kelp",0,0,31,0,9,2,10,4,0,0,6,11,72,2000,"Fort Bragg"
"Rockfish quillback",5,1,0,0,0,5,37,350,35,166,28,48,673,2000,"Fort Bragg"
"Rockfish redbanded",342,0,23,0,0,0,2,563,1420,2584,0,2052,6986,2000,"Fort Bragg"
"Rockfish rosethorn",0,0,0,0,0,0,0,9,0,3,0,0,11,2000,"Fort Bragg"
"Rockfish splitnose",7505,283,219,575,0,1850,253,292,1218,0,4023,1697,17915,2000,"Fort Bragg"
"Rockfish unspecified",86,0,0,0,54,193,178,13,235,139,0,0,898,2000,"Fort Bragg"
"Rockfish vermilion",449,128,0,0,367,359,1037,680,962,532,200,97,4811,2000,"Fort Bragg"
"Rockfish widow",9,70,58410,309,49,30081,23637,29919,87941,3607,28965,29108,292105,2000,"Fort Bragg"
"Rockfish yelloweye",10,0,3,0,0,0,4,116,94,168,147,43,586,2000,"Fort Bragg"
"Rockfish yellowtail",11,0,0,0,0,3,20,15,471,11,271,382,1183,2000,"Fort Bragg"
"Sablefish",33981,11285,24983,68727,31449,111357,92024,137091,111619,75381,104114,95869,897880,2000,"Fort Bragg"
"Salmon Chinook",0,0,0,0,0,0,33670,27978,317112,555,0,0,379315,2000,"Fort Bragg"
"Sanddab",0,0,123,51,0,0,0,0,0,0,667,37,878,2000,"Fort Bragg"
"Scorpionfish California",0,0,0,0,0,0,0,0,2,0,0,0,2,2000,"Fort Bragg"
"Sculpin staghorn",5,8,14,78,56,27,50,44,24,29,20,22,378,2000,"Fort Bragg"
"Shark shortfin mako",0,0,0,0,0,0,0,0,0,90,0,0,90,2000,"Fort Bragg"
"Shark soupfin",0,0,0,0,0,0,32,30,0,63,37,0,162,2000,"Fort Bragg"
"Skate unspecified",21262,14761,7896,17864,4651,20558,15392,18541,22465,21368,16557,10446,191761,2000,"Fort Bragg"
"Smelt night",0,40,520,1906,2887,536,0,0,0,0,0,0,5889,2000,"Fort Bragg"
"Smelt surf",0,0,0,516,1068,0,0,0,0,0,0,0,1584,2000,"Fort Bragg"
"Sole Dover",121209,30821,50999,405171,43430,188893,108752,119242,172737,74753,136830,123529,1576366,2000,"Fort Bragg"
"Sole English",389,2647,7125,16413,1782,11244,3514,15405,14808,32026,4999,444,110796,2000,"Fort Bragg"
"Sole petrale",30983,5763,5288,26345,894,3223,1907,8950,7245,17624,7510,13209,128940,2000,"Fort Bragg"
"Sole rex",16980,8546,3288,10769,1024,10521,6335,14950,15549,10878,10551,12723,122114,2000,"Fort Bragg"
"Sole rock",73,91,0,0,0,0,0,0,21,74,0,0,259,2000,"Fort Bragg"
"Sole sand",0,0,0,0,0,0,12,0,0,0,0,0,12,2000,"Fort Bragg"
"Surfperch rainbow",0,0,0,18,0,0,0,0,0,0,0,0,18,2000,"Fort Bragg"
"Surfperch redtail",0,0,0,57,0,0,0,0,0,0,0,0,57,2000,"Fort Bragg"
"Surfperch unspecified",21,4,2,16,12,13,8,7,6,0,0,0,89,2000,"Fort Bragg"
"Swordfish",0,0,0,0,0,0,0,0,0,6886,2678,0,9564,2000,"Fort Bragg"
"Thornyhead longspine",48505,16765,13111,102452,15483,35643,26201,21658,42663,8717,43115,22963,397276,2000,"Fort Bragg"
"Thornyhead shortspine",26462,3742,9717,25603,5698,6915,6582,6487,11835,1459,13485,6514,124499,2000,"Fort Bragg"
"Thornyheads",22,0,0,0,0,0,0,407,104,218,13886,19092,33729,2000,"Fort Bragg"
"Tomcod Pacific",0,0,0,0,0,0,0,0,32,0,0,0,32,2000,"Fort Bragg"
"Tuna albacore",0,787,675,0,0,0,5285,0,15918,8213,308,0,31186,2000,"Fort Bragg"
"Tuna bluefin",0,0,0,0,0,0,0,0,0,216,0,0,216,2000,"Fort Bragg"
"Crab Dungeness",90114,23317,23498,17768,8123,4276,1705,0,0,0,5977,242337,417115,2000,"Fort Bragg"
"Crab box",0,0,462,1130,0,3,0,0,0,0,0,0,1595,2000,"Fort Bragg"
"Crab claws",0,0,0,0,4,0,0,0,0,0,0,0,4,2000,"Fort Bragg"
"Crab rock unspecified",0,0,0,22,0,0,40,0,32,60,0,707,861,2000,"Fort Bragg"
"Prawn spot",2831,1251,2108,130,2015,3730,5200,1593,0,694,0,0,19552,2000,"Fort Bragg"
"Shrimp bay",0,0,0,141,0,0,0,0,0,0,0,0,141,2000,"Fort Bragg"
"Shrimp ocean pink",0,0,0,0,1081,0,0,2557,0,0,0,0,3638,2000,"Fort Bragg"
"Sea urchin purple",1386,0,0,0,0,0,0,0,0,8452,967,0,10815,2000,"Fort Bragg"
"Sea urchin red",394361,98115,146313,606837,365822,474908,934,488120,380296,326116,325068,475003,4081893,2000,"Fort Bragg"
"Abalone black",0,0,0,0,0,0,0,0,0,0,2,0,2,2000,"Fort Bragg"
"Octopus unspecified",0,58,0,171,12,15,0,71,0,107,0,44,478,2000,"Fort Bragg"
"Waters Area Total",818730,228066,411122,1364722,506417,1017709,412243,985134,1337450,666927,803593,1085701,9637813,2000,"Fort Bragg"
"Sea urchin red",0,0,575,0,0,0,0,0,0,0,0,0,575,2000,"Fort Bragg"
"Waters Area Total",0,0,575,0,0,0,0,0,0,0,0,0,575,2000,"Fort Bragg"
"Grand Total",818730,228066,411697,1364722,506417,1017709,412243,985134,1337450,666927,803593,1085701,9638388,2000,"Fort Bragg"
"Cabezon",720,1149,173,0,2676,4423,7398,5176,3079,0,0,0,24795,2001,"Fort Bragg"
"Flounder arrowtooth",22,29,0,7,29,12,0,33,0,0,0,0,132,2001,"Fort Bragg"
"Flounder starry",0,0,9,6,0,0,0,0,0,0,0,0,15,2001,"Fort Bragg"
"Greenling kelp",763,1367,224,0,1689,2199,2887,2367,0,0,0,0,11495,2001,"Fort Bragg"
"Grenadiers",2081,1409,5624,2105,2013,2798,15250,24516,19099,0,0,0,74895,2001,"Fort Bragg"
"Hagfishes",0,0,90,0,0,0,0,0,0,0,0,0,90,2001,"Fort Bragg"
"Halibut California",0,0,0,0,0,0,0,0,27,0,0,0,27,2001,"Fort Bragg"
"Halibut Pacific",0,0,0,0,0,438,153,0,0,0,0,0,591,2001,"Fort Bragg"
"Lingcod",0,0,0,0,2810,2004,4020,3835,3344,3926,10,0,19949,2001,"Fort Bragg"
"Mackerel Pacific",0,0,0,0,0,0,3,0,0,0,0,0,3,2001,"Fort Bragg"
"Rockfish China",87,88,200,19,379,172,517,751,382,757,288,28,3668,2001,"Fort Bragg"
"Rockfish blackandyellow",12,141,0,6,484,496,873,997,237,121,20,1,3386,2001,"Fort Bragg"
"Rockfish black",16,95,745,23,388,364,486,503,270,1428,83,0,4400,2001,"Fort Bragg"
"Rockfish blackgill",0,0,0,0,0,174,12163,13002,638,0,0,1337,27314,2001,"Fort Bragg"
"Rockfish blue",55,20,0,1,12,18,2,116,49,54,16,18,360,2001,"Fort Bragg"
"Rockfish bocaccio",0,739,181,187,739,276,1974,1328,1076,0,0,0,6500,2001,"Fort Bragg"
"Rockfish brown",0,0,0,0,1,0,7,0,20,1003,36,0,1067,2001,"Fort Bragg"
"Rockfish canary",18,285,83,268,815,586,915,590,660,0,0,0,4220,2001,"Fort Bragg"
"Rockfish chilipepper",0,16157,19840,12864,32108,22762,32897,17888,46666,30623,8760,2085,242650,2001,"Fort Bragg"
"Rockfish copper",84,77,492,0,14,9,9,190,37,526,55,3,1495,2001,"Fort Bragg"
"Rockfish darkblotched",0,0,496,0,135,0,0,0,0,0,0,0,631,2001,"Fort Bragg"
"Rockfish gopher",186,276,2,44,753,676,1532,2060,1537,1944,715,50,9773,2001,"Fort Bragg"
"Rockfish grass",10,22,0,0,253,469,864,392,1038,234,0,0,3281,2001,"Fort Bragg"
"Rockfish group nearshore",0,0,0,0,0,0,48,0,0,0,0,0,48,2001,"Fort Bragg"
"Rockfish group red",696,0,0,0,47,0,0,0,0,0,0,0,743,2001,"Fort Bragg"
"Rockfish group rosefish",1006,2704,10933,13908,1536,10472,3462,6919,8078,753,18,451,60240,2001,"Fort Bragg"
"Rockfish group shelf",26,1,42,34,39,451,24,761,1070,0,0,0,2448,2001,"Fort Bragg"
"Rockfish group slope",954,9642,20836,23239,5448,11152,9345,38440,59003,31498,129,393,210079,2001,"Fort Bragg"
"Rockfish group small",0,0,0,0,0,0,0,0,3,0,0,0,3,2001,"Fort Bragg"
"Rockfish kelp",0,0,0,0,6,0,1,0,2,4,0,0,13,2001,"Fort Bragg"
"Rockfish quillback",1,61,38,0,0,4,26,32,19,10,13,0,204,2001,"Fort Bragg"
"Rockfish redbanded",0,3,0,0,0,0,0,0,0,0,0,0,3,2001,"Fort Bragg"
"Rockfish rosethorn",0,0,0,0,0,0,0,0,1,0,0,0,1,2001,"Fort Bragg"
"Rockfish splitnose",6,461,0,2750,671,137,2228,3414,1872,1639,0,0,13178,2001,"Fort Bragg"
"Rockfish unspecified",33,0,212,0,0,0,2304,16,21,0,0,0,2586,2001,"Fort Bragg"
"Rockfish vermilion",99,114,175,0,3,0,281,798,636,0,0,0,2106,2001,"Fort Bragg"
"Rockfish widow",6,34759,157,31,27507,317,137,493,1085,950,29,12,65483,2001,"Fort Bragg"
"Rockfish yelloweye",0,60,125,0,0,0,0,8,0,0,0,0,192,2001,"Fort Bragg"
"Rockfish yellowtail",17,3,93,0,0,0,0,34,51,0,0,0,197,2001,"Fort Bragg"
"Sablefish",29391,34134,51888,66405,86360,64047,109350,148205,133308,71605,23346,7768,825806,2001,"Fort Bragg"
"Salmon chinook",0,0,0,0,52135,29721,121155,49461,121885,2595,0,0,376951,2001,"Fort Bragg"
"Salmon pink",0,0,0,0,0,38,49,0,0,0,0,0,87,2001,"Fort Bragg"
"Sanddab",0,3,111,2433,0,0,0,19,35,51,0,0,2652,2001,"Fort Bragg"
"Sardine Pacific",0,0,0,0,0,0,0,119,0,0,0,0,119,2001,"Fort Bragg"
"Sculpin staghorn",2,0,0,0,0,0,0,3,0,0,0,0,5,2001,"Fort Bragg"
"Shark gray smoothhound",0,0,0,0,0,0,0,259,0,0,0,0,259,2001,"Fort Bragg"
"Shark leopard",0,0,0,0,0,44,0,0,0,0,0,0,44,2001,"Fort Bragg"
"Shark soupfin",0,27,0,0,21,0,27,0,0,48,0,28,151,2001,"Fort Bragg"
"Shark unspecified",0,0,0,0,0,0,0,0,0,0,21,0,21,2001,"Fort Bragg"
"Skate big",0,0,0,0,0,0,0,1405,0,0,0,0,1405,2001,"Fort Bragg"
"Skate unspecified",7018,6908,3842,12708,11509,13345,34298,36559,5438,1895,269,2157,135946,2001,"Fort Bragg"
"Smelt night",0,186,2054,3054,4423,1435,0,10,0,0,0,0,11162,2001,"Fort Bragg"
"Smelt surf",0,0,315,0,2200,2208,90,10,0,2972,0,0,7795,2001,"Fort Bragg"
"Sole Dover",57890,83134,97878,195973,195267,115224,249892,248261,166103,11908,0,3465,1424995,2001,"Fort Bragg"
"Sole English",100,3812,4407,9273,4119,4342,18619,22032,1929,12694,3232,4019,88578,2001,"Fort Bragg"
"Sole petrale",16454,7095,4375,2779,3089,4468,2448,4201,4890,5921,2377,9866,67963,2001,"Fort Bragg"
"Sole rex",6086,21160,6884,13101,9852,7771,14413,21663,11739,3893,2267,2149,120978,2001,"Fort Bragg"
"Sole rock",0,0,0,133,0,0,0,0,0,0,0,0,133,2001,"Fort Bragg"
"Sole sand",0,0,0,0,0,0,0,4,0,0,0,0,4,2001,"Fort Bragg"
"Surfperch barred",0,0,72,0,0,0,0,0,0,0,0,0,72,2001,"Fort Bragg"
"Surfperch calico",0,0,0,2,0,0,0,0,0,0,0,0,2,2001,"Fort Bragg"
"Surfperch rainbow",0,0,0,12,0,0,0,0,0,0,0,0,12,2001,"Fort Bragg"
"Surfperch redtail",0,0,379,175,0,0,0,0,0,0,0,0,554,2001,"Fort Bragg"
"Surfperch unspecified",0,0,0,7,0,0,0,0,0,0,2,0,8,2001,"Fort Bragg"
"Thornyhead longspine",12716,29254,28876,35887,44024,17943,45387,46270,61129,1484,0,0,322970,2001,"Fort Bragg"
"Thornyhead shortspine",7098,6441,8560,8428,13535,6372,13862,11079,18754,1021,0,0,95150,2001,"Fort Bragg"
"Thornyheads",0,0,1671,0,0,1,0,0,0,0,0,0,1672,2001,"Fort Bragg"
"Tuna albacore",0,0,0,0,0,0,3467,18177,22179,94468,0,0,138290,2001,"Fort Bragg"
"Turbot",0,0,80,6,0,0,0,11,0,0,0,0,97,2001,"Fort Bragg"
"Crab Dungeness",49343,18470,8697,6323,5294,5007,9078,0,0,0,0,204453,306664,2001,"Fort Bragg"
"Crab box",0,0,0,0,0,0,7,0,0,0,0,0,7,2001,"Fort Bragg"
"Crab rock unspecified",0,0,0,0,0,0,303,0,0,0,0,0,303,2001,"Fort Bragg"
"Crab sand",0,0,0,0,2,0,0,0,0,0,0,0,2,2001,"Fort Bragg"
"Prawn spot",0,1503,1430,0,0,0,1448,0,3152,3887,0,0,11420,2001,"Fort Bragg"
"Urchin purple sea",0,0,865,0,0,0,0,34,0,173,888,131,2091,2001,"Fort Bragg"
"Urchin red",156005,366870,379524,454352,402998,295964,0,338519,315358,541657,261133,147760,3660140,2001,"Fort Bragg"
"Octopus unspecified",38,109,484,19,87,89,17,0,41,69,107,1005,2065,2001,"Fort Bragg"
"Snail sea",0,0,0,0,0,80,0,0,0,0,0,0,80,2001,"Fort Bragg"
"Waters Area Total",349037,648766,663163,866564,915468,628506,723715,1070959,1015938,831810,303813,387178,8404916,2001,"Fort Bragg"
"Grand Total",349037,648766,663163,866564,915468,628506,723715,1070959,1015938,831810,303813,387178,8404916,2001,"Fort Bragg"
"Cabezon",1610,2552,0,0,7898,8468,153,0,0,0,0,0,20681,2002,"Fort Bragg"
"Cod Pacific",0,0,0,6,0,0,0,0,0,0,0,0,6,2002,"Fort Bragg"
"Croaker white",0,0,0,0,85,0,0,0,0,0,0,0,85,2002,"Fort Bragg"
"Flounder arrowtooth",0,0,0,0,0,0,0,406,539,0,0,0,945,2002,"Fort Bragg"
"Flounder starry",15,0,0,0,0,0,0,0,3,0,0,0,18,2002,"Fort Bragg"
"Greenling kelp",684,1320,0,0,1993,1185,0,0,0,0,0,0,5182,2002,"Fort Bragg"
"Grenadiers",2823,3095,3500,4023,10994,14629,8123,8956,19181,5735,1746,0,82805,2002,"Fort Bragg"
"Halibut Pacific",0,0,0,0,0,281,0,0,0,0,0,0,281,2002,"Fort Bragg"
"Jacksmelt",0,0,0,0,0,0,0,150,0,0,0,0,150,2002,"Fort Bragg"
"Lingcod",1591,2109,1779,2861,10691,3169,6304,2153,476,71,0,0,31204,2002,"Fort Bragg"
"Opah",0,0,0,0,0,0,0,14,0,0,0,0,14,2002,"Fort Bragg"
"Rockfish China",182,423,0,0,260,297,2100,985,0,0,0,0,4247,2002,"Fort Bragg"
"Rockfish blackandyellow",92,136,0,0,942,1084,1414,1318,0,0,0,0,4986,2002,"Fort Bragg"
"Rockfish black",68,73,0,0,401,299,1351,480,0,0,0,0,2672,2002,"Fort Bragg"
"Rockfish blackgill",2390,157,2208,699,108,492,0,54,122,177,0,0,6407,2002,"Fort Bragg"
"Rockfish blue",3,28,0,0,49,60,186,37,0,0,0,0,364,2002,"Fort Bragg"
"Rockfish bocaccio",734,1646,1205,1301,3862,566,0,0,0,0,0,0,9314,2002,"Fort Bragg"
"Rockfish brown",0,23,0,0,2,12,282,36,0,0,0,0,355,2002,"Fort Bragg"
"Rockfish canary",131,666,715,495,2760,1225,61,19,0,0,0,0,6072,2002,"Fort Bragg"
"Rockfish chilipepper",14881,29839,33609,25047,17910,7659,0,4,0,0,0,0,128949,2002,"Fort Bragg"
"Rockfish copper",25,38,0,0,22,0,127,19,0,0,0,0,230,2002,"Fort Bragg"
"Rockfish darkblotched",0,0,2724,13545,6630,227,900,640,68,8,686,0,25428,2002,"Fort Bragg"
"Rockfish gopher",504,717,0,0,1024,1028,4214,2342,0,0,0,0,9829,2002,"Fort Bragg"
"Rockfish grass",155,28,0,0,573,647,172,328,0,0,0,0,1904,2002,"Fort Bragg"
"Rockfish greenspotted",0,10,0,0,0,0,0,0,0,0,0,0,10,2002,"Fort Bragg"
"Rockfish group rosefish",4421,7573,3296,3792,8594,229,0,66,1260,913,5143,2611,37898,2002,"Fort Bragg"
"Rockfish group shelf",36,274,52,4,1230,217,268,0,0,0,0,0,2081,2002,"Fort Bragg"
"Rockfish group slope",23471,53411,11064,37000,11710,5913,3888,13004,1456,534,4770,3361,169582,2002,"Fort Bragg"
"Rockfish group small",0,0,0,0,48,0,0,0,0,0,0,0,48,2002,"Fort Bragg"
"Rockfish kelp",0,1,0,0,2,0,0,8,0,0,0,0,11,2002,"Fort Bragg"
"Rockfish quillback",22,27,0,0,0,2,11,11,0,0,0,0,73,2002,"Fort Bragg"
"Rockfish redbanded",0,446,0,0,0,0,0,0,0,0,0,0,446,2002,"Fort Bragg"
"Rockfish rosy",0,0,0,0,0,4127,0,0,0,0,0,0,4127,2002,"Fort Bragg"
"Rockfish splitnose",617,930,3744,4958,1320,1314,1612,2297,1919,488,520,0,19719,2002,"Fort Bragg"
"Rockfish starry",1,0,0,0,0,0,0,0,0,0,0,0,1,2002,"Fort Bragg"
"Rockfish unspecified",0,0,0,0,0,0,0,2,0,0,0,0,2,2002,"Fort Bragg"
"Rockfish vermilion",482,391,0,0,303,258,0,8,0,0,0,0,1441,2002,"Fort Bragg"
"Rockfish widow",3,1219,329,207,827,1294,0,0,0,0,0,0,3879,2002,"Fort Bragg"
"Rockfish yelloweye",0,4,0,0,38,0,0,0,0,0,0,0,42,2002,"Fort Bragg"
"Rockfish yellowtail",0,440,489,0,265,427,0,0,0,0,0,0,1621,2002,"Fort Bragg"
"Sablefish",27680,48415,56855,37274,60759,71093,88931,74628,71361,53835,74715,14897,680443,2002,"Fort Bragg"
"Salmon chinook",0,0,0,0,122004,97659,326506,492434,74329,0,0,0,1112932,2002,"Fort Bragg"
"Sanddab Pacific",0,0,0,0,0,0,0,0,22,0,0,0,22,2002,"Fort Bragg"
"Sanddab",1,51,11,0,16,0,42,236,0,0,0,1,358,2002,"Fort Bragg"
"Sculpin staghorn",0,0,0,0,0,2,5,2,0,0,0,0,9,2002,"Fort Bragg"
"Shark soupfin",0,80,39,0,0,0,0,0,0,0,0,0,119,2002,"Fort Bragg"
"Skate unspecified",3633,3412,1932,196,0,0,0,0,0,0,0,0,9173,2002,"Fort Bragg"
"Smelt night",1069,3292,2233,723,2290,0,0,0,0,0,0,0,9607,2002,"Fort Bragg"
"Sole Dover",105373,107380,143843,122074,220671,154768,248548,324962,315380,111834,187730,50804,2093367,2002,"Fort Bragg"
"Sole English",1810,11917,9048,13096,8159,4871,463,659,797,0,1768,0,52588,2002,"Fort Bragg"
"Sole bigmouth",0,0,0,0,0,0,0,0,1391,0,0,0,1391,2002,"Fort Bragg"
"Sole petrale",18514,17257,6785,4027,17679,4993,671,1466,3331,1060,28102,50662,154547,2002,"Fort Bragg"
"Sole rex",7727,19765,28207,16135,14270,6864,7651,9117,8783,2222,13137,9058,142936,2002,"Fort Bragg"
"Sole rock",0,226,288,0,0,22,0,0,0,0,0,0,536,2002,"Fort Bragg"
"Sole unspecified",0,0,0,0,30,0,0,0,0,0,0,0,30,2002,"Fort Bragg"
"Surfperch calico",0,0,0,4,0,0,0,0,0,0,0,0,4,2002,"Fort Bragg"
"Surfperch redtail",0,0,42,216,0,0,0,0,0,0,0,0,258,2002,"Fort Bragg"
"Surfperch unspecified",3,1,0,10,0,0,0,0,0,0,0,0,15,2002,"Fort Bragg"
"Thornyhead longspine",27764,79522,69539,46343,92581,64549,112292,115399,128304,61677,49493,6959,854422,2002,"Fort Bragg"
"Thornyhead shortspine",13150,15787,19304,9555,25649,14860,35959,31030,30403,14949,16898,1113,228657,2002,"Fort Bragg"
"Thornyheads",0,0,0,0,0,60,1615,0,705,162,37654,5135,45331,2002,"Fort Bragg"
"Tuna albacore",0,0,0,0,0,0,2791,26487,12549,6172,0,0,47999,2002,"Fort Bragg"
"Crab Dungeness",60337,18985,7769,1291,3660,3860,20861,0,0,0,17590,56940,191292,2002,"Fort Bragg"
"Crab rock unspecified",0,0,0,0,0,0,1263,0,0,0,0,180,1443,2002,"Fort Bragg"
"Lobster California spiny",0,0,0,0,0,0,0,0,0,0,0,0,0,2002,"Fort Bragg"
"Prawn spot",0,969,339,0,1881,0,2982,0,0,0,0,0,6171,2002,"Fort Bragg"
"Shrimp Pacific Ocean",0,0,0,0,0,0,0,17228,0,0,0,0,17228,2002,"Fort Bragg"
"Shrimp coonstriped",0,0,0,0,0,187,0,0,0,100,0,0,287,2002,"Fort Bragg"
"Shrimp unspecified",10,10,2,22,59,3,0,0,14,0,0,0,119,2002,"Fort Bragg"
"Waters Area Total",720332,784992,1014825,1033501,1009289,639229,884184,1532380,1150614,726947,841498,355048,10692841,2002,"Fort Bragg"
"Sea cucumber unspecified",0,0,300,165,0,0,0,0,0,0,0,0,465,2002,"Fort Bragg"
"Urchin purple sea",0,0,0,0,0,0,0,1029,0,0,1944,0,2973,2002,"Fort Bragg"
"Urchin red",398134,348811,601339,687014,340240,159999,2424,404347,478181,467000,399582,153276,4440347,2002,"Fort Bragg"
"Octopus unspecified",185,1535,2237,1419,188,102,15,18,40,10,20,51,5820,2002,"Fort Bragg"
"Snail sea",0,0,0,0,0,230,0,0,0,0,0,0,230,2002,"Fort Bragg"
"Squid market",0,0,0,0,8612,0,0,0,0,0,0,0,8612,2002,"Fort Bragg"
"Lingcod",0,0,0,0,0,0,0,64,0,0,0,0,64,2002,"Fort Bragg"
"Rockfish China",0,0,0,0,0,0,0,10,0,0,0,0,10,2002,"Fort Bragg"
"Rockfish gopher",0,0,0,0,0,0,0,105,0,0,0,0,105,2002,"Fort Bragg"
"Urchin red",0,0,0,0,0,0,0,0,0,1319,0,0,1319,2002,"Fort Bragg"
"Waters Area Total",0,0,0,0,0,0,0,179,0,1319,0,0,1498,2002,"Fort Bragg"
"Grand Total",720332,784992,1014825,1033501,1009289,639229,884184,1532559,1150614,728266,841498,355048,10694339,2002,"Fort Bragg"
"Cabezon",135,1238,0,0,5563,1804,3848,0,0,0,0,0,12587,2003,"Fort Bragg"
"Fish unspecified",0,0,0,0,3,0,0,0,0,0,0,0,3,2003,"Fort Bragg"
"Flounder arrowtooth",48,1424,0,0,0,22,275,0,0,0,534,18,2321,2003,"Fort Bragg"
"Flounder unspecified",0,0,0,0,0,0,0,0,0,0,0,2,2,2003,"Fort Bragg"
"Greenling kelp",50,235,0,0,2282,687,0,0,0,0,2,0,3255,2003,"Fort Bragg"
"Grenadier",3087,0,2864,9071,5946,211,5199,3029,8519,1492,0,0,39418,2003,"Fort Bragg"
"Halibut California",0,0,0,0,0,0,416,447,15,0,0,0,878,2003,"Fort Bragg"
"Lingcod",4,70,0,373,1705,960,1876,2403,2054,344,176,0,9965,2003,"Fort Bragg"
"Mackerel jack",0,0,0,0,0,0,0,0,0,28,0,0,28,2003,"Fort Bragg"
"Opah",0,0,0,0,0,0,0,59,0,0,0,0,59,2003,"Fort Bragg"
"Opaleye",0,0,0,0,0,0,0,0,0,858,0,0,858,2003,"Fort Bragg"
"Rockfish China",15,117,0,0,69,81,123,413,334,109,195,2,1457,2003,"Fort Bragg"
"Rockfish aurora",0,0,0,0,0,49,0,0,0,0,0,0,49,2003,"Fort Bragg"
"Rockfish bank",1368,0,0,0,0,0,0,0,0,0,0,0,1368,2003,"Fort Bragg"
"Rockfish blackandyellow",0,272,0,0,445,115,513,821,298,162,471,14,3109,2003,"Fort Bragg"
"Rockfish black",0,47,0,0,63,69,254,362,105,26,57,0,984,2003,"Fort Bragg"
"Rockfish blackgill",0,299,0,769,77,124,142,0,0,1377,2245,45,5078,2003,"Fort Bragg"
"Rockfish blue",2,10,0,0,30,8,201,64,434,199,130,0,1076,2003,"Fort Bragg"
"Rockfish bocaccio",0,0,0,0,0,0,0,0,44,0,0,0,44,2003,"Fort Bragg"
"Rockfish brown",0,0,0,0,0,0,0,23,65,53,25,0,165,2003,"Fort Bragg"
"Rockfish canary",0,0,0,0,0,0,0,18,2,0,0,0,20,2003,"Fort Bragg"
"Rockfish chilipepper",0,0,0,0,0,0,0,19,106,31,0,0,156,2003,"Fort Bragg"
