"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year","area"
"Rockfish group red",566,21,0,0,453,935,498,582,479,406,332,338,4611,2000,"Monterey"
"Rockfish group rosefish",7509,4552,819,1967,5006,977,992,4146,4676,3392,9952,8473,52461,2000,"Monterey"
"Rockfish group shelf",0,0,0,24,105,451,6,281,870,0,0,105,1842,2000,"Monterey"
"Rockfish group slope",0,0,0,3187,360,95,0,0,0,130,0,7319,11090,2000,"Monterey"
"Rockfish group small",45,0,0,744,196,190,43,243,171,82,0,0,1714,2000,"Monterey"
"Rockfish kelp",126,47,0,21,87,164,204,317,166,81,128,152,1492,2000,"Monterey"
"Rockfish olive",0,0,0,0,13,28,141,242,76,42,1,5,549,2000,"Monterey"
"Rockfish redbanded",209,0,0,0,270,59,17,0,68,780,26,47,1476,2000,"Monterey"
"Rockfish rosy",0,0,0,100,0,0,0,0,0,0,0,0,100,2000,"Monterey"
"Rockfish speckled",0,0,0,0,0,4,0,39,0,0,4,8,55,2000,"Monterey"
"Rockfish splitnose",3,0,778,0,4367,467,364,35,156,0,4,0,6173,2000,"Monterey"
"Rockfish starry",0,0,0,0,0,2,0,16,1,0,3,32,53,2000,"Monterey"
"Rockfish swordspine",0,0,0,0,0,1778,0,0,0,0,0,0,1778,2000,"Monterey"
"Rockfish treefish",0,0,0,0,3,6,3,9,55,5,13,8,102,2000,"Monterey"
"Rockfish unspecified",292,101,0,9,241,468,174,907,931,379,251,250,4003,2000,"Monterey"
"Rockfish vermilion",297,61,0,5,63,109,470,281,490,267,173,727,2943,2000,"Monterey"
"Rockfish widow",783,801,0,928,1592,5948,0,1704,13827,11629,16283,261,53757,2000,"Monterey"
"Rockfish yelloweye",0,0,0,0,0,0,25,60,313,15,9,17,439,2000,"Monterey"
"Rockfish yellowtail",44,6,4,0,82,792,407,216,383,91,43,245,2313,2000,"Monterey"
"Sablefish",21153,11028,27067,22851,19195,20909,23942,191494,49474,83857,126845,112149,709963,2000,"Monterey"
"Salmon Chinook",0,0,0,0,1022772,537129,147294,14554,1702,0,0,0,1723451,2000,"Monterey"
"Salmon",0,0,0,0,51,0,60,0,0,0,0,0,111,2000,"Monterey"
"Sanddab Pacific",0,4311,0,0,0,0,0,0,0,0,0,0,4311,2000,"Monterey"
"Sanddab",36272,9586,4947,3727,10062,134,687,5825,1770,15876,4837,167,93889,2000,"Monterey"
"Sardine Pacific",1169085,0,0,43519,329502,1289847,2693394,3537036,9359146,6473334,164068,800,25059731,2000,"Monterey"
"Seabass white",441,460,14,17,0,0,4398,15233,3130,781,0,0,24475,2000,"Monterey"
"Shark Pacific angel",0,288,53,40,0,0,14,0,15,0,0,0,410,2000,"Monterey"
"Shark brown smoothhound",0,0,0,3,0,0,0,0,0,0,0,0,3,2000,"Monterey"
"Shark leopard",20,0,61,688,10,11,0,0,0,6,0,0,795,2000,"Monterey"
"Shark pelagic thresher",0,0,0,0,0,0,0,0,0,98,0,0,98,2000,"Monterey"
"Shark shortfin mako",0,0,0,0,0,0,0,0,741,676,353,0,1770,2000,"Monterey"
"Shark soupfin",319,717,162,179,123,476,160,73,530,0,261,139,3138,2000,"Monterey"
"Shark spiny dogfish",5379,69,28,243,0,373,2370,3991,59,0,20,383,12915,2000,"Monterey"
"Shark thresher",276,97,0,124,281,178,139,4483,630,193,238,0,6638,2000,"Monterey"
"Shark unspecified",710,0,1045,4300,36,0,0,527,494,70,1358,415,8955,2000,"Monterey"
"Sheephead California",30,0,0,6,11,0,0,13,0,0,0,14,73,2000,"Monterey"
"Skate unspecified",16697,13193,5968,3622,4138,3305,831,2232,1678,471,1415,3125,56675,2000,"Monterey"
"Smelt surf",0,0,0,0,0,214,0,0,121,0,0,0,335,2000,"Monterey"
"Smelts true",0,0,0,0,0,0,0,0,0,200,0,0,200,2000,"Monterey"
"Sole Dover",103167,97874,166750,177525,35868,60084,28529,72297,72501,27841,112788,140000,1095224,2000,"Monterey"
"Sole English",9147,1153,2810,3667,1604,1868,1664,5549,2290,3634,7589,10537,51512,2000,"Monterey"
"Sole bigmouth",0,0,4,0,0,143,0,0,0,0,0,0,147,2000,"Monterey"
"Sole petrale",25357,2685,1583,3240,2328,1377,1480,4277,2280,2665,14115,32176,93564,2000,"Monterey"
"Sole rex",5929,7274,797,1816,1118,1195,745,1271,322,441,1807,4054,26769,2000,"Monterey"
"Sole rock",45,150,0,40,0,0,0,0,0,14,0,0,249,2000,"Monterey"
"Sole sand",16,249,41,108,7,128,84,2,23,7,18,0,682,2000,"Monterey"
"Sole unspecified",0,0,0,0,0,0,0,0,142,0,0,0,142,2000,"Monterey"
"Surfperch rainbow",0,1,0,0,0,0,0,0,0,0,0,0,1,2000,"Monterey"
"Surfperch unspecified",0,2,0,0,4,8,3,22,0,0,0,3,42,2000,"Monterey"
"Swordfish",1702,0,0,0,0,0,0,417,14211,9842,3075,0,29247,2000,"Monterey"
"Thornyhead longspine",73469,16726,33688,39965,9728,12398,8779,25937,24378,10257,41515,60696,357536,2000,"Monterey"
"Thornyhead shortspine",13880,10779,10321,9435,2628,3521,2708,5682,4116,2814,11484,14576,91944,2000,"Monterey"
"Thornyheads",1261,223,10380,136,0,28,312,1669,118,125,846,249,15346,2000,"Monterey"
"Tuna albacore",146,0,0,0,0,427,5398,24312,433825,280402,12431,981,757921,2000,"Monterey"
"Tuna bluefin",0,0,0,0,0,0,0,79,701,651,84,0,1515,2000,"Monterey"
"Tuna skipjack",0,0,0,0,0,0,0,0,9248,0,0,0,9248,2000,"Monterey"
"Tuna unspecified",0,0,0,0,0,0,0,0,121,0,0,0,121,2000,"Monterey"
"Tuna yellowfin",7,0,0,0,0,0,0,20,52,0,0,0,79,2000,"Monterey"
"Turbot",0,0,13,0,0,31,0,0,0,0,0,0,44,2000,"Monterey"
"Whiting Pacific",0,0,0,610,0,0,1025,0,340,250,0,110,2335,2000,"Monterey"
"Crab Dungeness",4114,3467,4198,2819,1078,35,0,0,0,400,4194,7883,28187,2000,"Monterey"
"Crab box",0,0,0,0,0,0,0,44,0,0,0,0,44,2000,"Monterey"
"Crab rock unspecified",537,86,735,1557,929,1277,987,543,1362,1255,135,18,9421,2000,"Monterey"
"Crab spider",0,0,0,0,0,0,0,0,0,0,3,0,3,2000,"Monterey"
"Prawn spot",3893,2760,1740,1197,0,1506,2920,6073,2208,5673,4970,4573,37513,2000,"Monterey"
"Shrimp ocean pink",230,0,0,0,65518,0,0,0,40,0,0,0,65788,2000,"Monterey"
"Octopus unspecified",9,63,38,14,0,0,0,388,426,304,56,148,1445,2000,"Monterey"
"Squid market",1,0,0,3339358,5477887,1574388,1133704,2210406,1182493,780201,10240,20,15708698,2000,"Monterey"
"Waters Area Total",3025328,235732,753060,5295780,7806361,4686938,4504856,6295174,11380050,8054778,7489612,2583244,62110912,2000,"Monterey"
"Halibut California",0,0,0,0,0,0,80,0,0,0,0,0,80,2000,"Monterey"
"Salmon Chinook",0,0,0,0,300,0,0,0,0,0,0,0,300,2000,"Monterey"
"Thornyhead longspine",0,0,0,0,0,0,0,0,32,0,128,0,159,2000,"Monterey"
"Thornyhead shortspine",0,0,0,0,0,0,0,0,76,0,38,0,114,2000,"Monterey"
"Waters Area Total",0,0,0,0,300,0,80,0,108,0,166,0,653,2000,"Monterey"
"Rockfish widow",0,0,0,0,4885,19240,0,0,0,0,0,0,24125,2000,"Monterey"
"Rockfish yellowtail",0,0,0,0,25732,22505,0,0,0,0,0,0,48237,2000,"Monterey"
"Waters Area Total",0,0,0,0,30617,41745,0,0,0,0,0,0,72362,2000,"Monterey"
"Grand Total",3025328,235732,753060,5295780,7837278,4728683,4504935,6295174,11380158,8054778,7489778,2583244,62183928,2000,"Monterey"
"Anchovy northern",4065693,2764702,58984,8263489,9975211,386502,200,2050,3920,89302,1260,94810,25706123,2001,"Monterey"
"Barracuda California",0,0,0,0,0,0,0,13,4,54,54,0,125,2001,"Monterey"
"Bonito Pacific",0,0,0,0,0,0,0,0,11666,0,0,0,11666,2001,"Monterey"
"Butterfish Pacific pompano",0,0,110,828,2192,1336,1190,175,892,2177,40,43,8983,2001,"Monterey"
"Cabezon",522,1441,18,0,2915,3048,4349,2869,1539,0,12,0,16713,2001,"Monterey"
"Cod Pacific",0,0,0,0,0,762,0,0,0,0,0,0,762,2001,"Monterey"
"Croaker unspecifed",0,23,132,18,0,0,0,0,0,0,0,0,173,2001,"Monterey"
"Croaker white",0,0,328,349,1070,1510,180,1063,1082,814,70,183,6649,2001,"Monterey"
"Eel monkeyface",0,0,0,0,0,0,0,0,3,2,0,0,4,2001,"Monterey"
"Flounder starry",290,91,78,170,855,476,627,644,346,143,46,189,3956,2001,"Monterey"
"Flounder unspecified",0,41,248,472,1241,1761,1845,1241,857,296,178,126,8306,2001,"Monterey"
"Greenling kelp",120,343,12,0,384,200,288,325,0,0,0,0,1672,2001,"Monterey"
"Grenadiers",5713,3945,8094,16001,30049,26525,47343,12044,49244,11260,11701,12673,234592,2001,"Monterey"
"Halibut California",814,639,925,556,5158,3386,15097,6070,4735,1671,4623,2156,45830,2001,"Monterey"
"Halibut unspecified",0,0,0,0,0,0,0,0,0,169,0,0,169,2001,"Monterey"
"Herring Pacific",0,0,0,21,0,0,220,0,0,0,0,0,241,2001,"Monterey"
"Jacksmelt",0,0,1031,3241,2217,3005,1914,2425,4380,1073,2100,37074,58460,2001,"Monterey"
"Lingcod",0,0,0,0,397,365,3476,2017,2783,1478,187,0,10702,2001,"Monterey"
"Louvar",0,0,0,0,0,0,0,0,0,0,66,0,66,2001,"Monterey"
"Mackerel Pacific",0,0,0,0,50,1024,1046,120,42,300,376812,22,379415,2001,"Monterey"
"Mackerel unspecified",0,0,0,0,0,0,175,0,0,0,4,0,179,2001,"Monterey"
"Opah",0,0,0,0,0,0,0,0,112,0,292,0,404,2001,"Monterey"
"Queenfish",0,2,0,0,0,145,0,0,0,0,0,0,147,2001,"Monterey"
"Ray unspecified",0,0,0,0,0,49,0,0,0,0,0,0,49,2001,"Monterey"
"Rockfish China",22,26,5,0,5,123,408,163,177,109,96,151,1284,2001,"Monterey"
"Rockfish Pacific ocean perc",0,0,0,0,0,0,0,0,0,0,0,3,3,2001,"Monterey"
"Rockfish bank",80,0,113,252,699,7965,7908,14,74,48,291,6015,23459,2001,"Monterey"
"Rockfish blackandyellow",93,604,1,0,1410,1386,1606,748,373,351,137,119,6827,2001,"Monterey"
"Rockfish black",30,180,5,0,41,92,137,246,73,206,19,33,1061,2001,"Monterey"
"Rockfish blackgill",3364,1540,3828,3727,792,9086,2852,257,3152,6501,4229,1087,40414,2001,"Monterey"
"Rockfish blue",74,120,0,0,35,183,63,311,75,139,196,20,1216,2001,"Monterey"
"Rockfish bocaccio",885,2261,911,634,441,1193,2181,1186,1983,1022,0,0,12698,2001,"Monterey"
"Rockfish brown",113,857,16,0,907,1228,1077,939,790,601,287,1227,8042,2001,"Monterey"
"Rockfish canary",14,129,0,3,0,41,111,162,305,0,0,0,765,2001,"Monterey"
"Rockfish chilipepper",13850,22174,8113,2114,16118,14556,12691,4133,2248,16185,12987,27846,153015,2001,"Monterey"
"Rockfish copper whitebelly",0,0,0,0,53,0,0,0,0,0,0,0,53,2001,"Monterey"
"Rockfish copper",13,76,9,0,132,197,71,117,137,393,27,66,1238,2001,"Monterey"
"Rockfish darkblotched",214,13,0,0,0,40,0,0,0,0,0,18,285,2001,"Monterey"
"Rockfish flag",0,0,0,0,0,0,2,6,0,0,0,0,8,2001,"Monterey"
"Rockfish gopher",1031,2107,50,0,2642,3781,3798,2211,2329,1789,1382,785,21906,2001,"Monterey"
"Rockfish grass",24,87,0,0,541,955,710,531,201,645,136,17,3847,2001,"Monterey"
"Rockfish greenblotched",0,0,0,0,0,0,0,0,21,0,0,0,21,2001,"Monterey"
"Rockfish greenspotted",0,25,2,0,0,0,0,155,0,18,126,98,424,2001,"Monterey"
"Rockfish greenstriped",0,40,2,0,0,0,10,0,0,12,0,0,64,2001,"Monterey"
"Rockfish group blackblue",0,42,0,0,0,0,0,0,0,0,0,0,42,2001,"Monterey"
"Rockfish group bolina",40,122,0,0,0,0,0,10,341,206,320,5,1044,2001,"Monterey"
"Rockfish group canaryverm",0,0,0,0,0,0,0,0,5,0,0,0,5,2001,"Monterey"
"Rockfish group gopher",126,106,0,0,13,40,315,797,361,90,28,105,1981,2001,"Monterey"
"Rockfish group nearshore",0,0,0,0,3,0,0,149,4,11,0,0,167,2001,"Monterey"
"Rockfish group red",154,0,16,0,100,87,335,188,77,0,371,25,1353,2001,"Monterey"
"Rockfish group rosefish",3469,2523,5828,6314,2196,4296,1909,1874,10262,1073,10825,7432,58001,2001,"Monterey"
"Rockfish group shelf",0,0,0,0,0,0,0,355,235,0,0,0,590,2001,"Monterey"
"Rockfish group slope",6990,6573,7392,8270,10899,8515,2991,61,663,690,3304,7246,63594,2001,"Monterey"
"Rockfish group small",0,0,19,0,0,95,220,45,142,131,0,0,652,2001,"Monterey"
"Rockfish kelp",34,84,0,0,120,121,282,104,142,211,53,186,1337,2001,"Monterey"
"Rockfish olive",157,132,0,0,57,60,84,138,0,98,242,140,1107,2001,"Monterey"
"Rockfish redbanded",321,36,0,0,0,0,112,0,0,0,0,72,541,2001,"Monterey"
"Rockfish rosethorn",0,7,0,0,0,0,0,0,0,0,0,0,7,2001,"Monterey"
"Rockfish rosy",0,0,0,0,0,0,0,0,326,131,0,1937,2394,2001,"Monterey"
"Rockfish speckled",0,5,0,0,0,0,0,16,0,0,0,0,21,2001,"Monterey"
"Rockfish starry",0,0,0,0,0,0,3,13,1,0,0,0,18,2001,"Monterey"
"Rockfish treefish",11,3,0,0,8,12,2,10,12,8,4,7,75,2001,"Monterey"
"Rockfish unspecified",33,84,6,0,501,320,676,324,627,327,26,461,3384,2001,"Monterey"
"Rockfish vermilion",112,419,0,0,0,0,914,481,855,179,0,0,2959,2001,"Monterey"
"Rockfish widow",494,1664,1374,1494,10,26,40,16,216,1079,1013,2256,9682,2001,"Monterey"
"Rockfish yelloweye",1,12,10,0,0,11,0,44,0,0,0,0,78,2001,"Monterey"
"Rockfish yellowtail",2,95,0,0,88,70,90,102,43,0,3,0,492,2001,"Monterey"
"Sablefish",22974,20406,29998,32308,39884,30665,69307,68525,115875,48000,51761,41063,570765,2001,"Monterey"
"Salmon chinook",0,0,0,0,293369,38358,29281,1268,8260,371,0,0,370907,2001,"Monterey"
"Salmon",0,0,0,0,0,0,0,10,0,0,0,0,10,2001,"Monterey"
"Sanddab Pacific",0,250,0,0,0,0,0,0,0,0,0,0,250,2001,"Monterey"
"Sanddab longfin",0,0,0,0,0,63,0,0,0,0,0,0,63,2001,"Monterey"
"Sanddab",1030,416,13359,1209,2156,2578,3666,2798,3160,18981,25223,15877,90452,2001,"Monterey"
"Sardine Pacific",1473517,18552,404,214705,1060,906,1100,20034,532814,5369065,4937941,3087965,15658063,2001,"Monterey"
"Seabass white",0,52,0,16,62,15,2864,12582,13625,15884,7356,2237,54692,2001,"Monterey"
"Shark Pacific angel",0,0,0,0,0,0,14,0,0,0,67,0,81,2001,"Monterey"
"Shark leopard",10,174,0,39,14,0,0,0,0,0,23,83,343,2001,"Monterey"
"Shark shortfin mako",0,0,0,0,0,0,0,0,51,0,84,0,135,2001,"Monterey"
"Shark soupfin",19,331,12,25,109,0,71,23,0,0,1405,446,2441,2001,"Monterey"
"Shark spiny dogfish",0,0,0,0,0,13,18,0,0,0,0,118,150,2001,"Monterey"
"Shark thresher",0,0,0,118,107,13,802,238,637,35,358,7,2314,2001,"Monterey"
"Shark unspecified",182,34,19,115,157,152,91,70,310,135,181,126,1572,2001,"Monterey"
"Sheephead California",0,2,0,0,19,25,12,80,46,400,0,0,584,2001,"Monterey"
"Silversides",0,0,0,3498,0,0,0,0,0,0,0,0,3498,2001,"Monterey"
"Skate unspecified",2230,2455,2271,1302,1605,741,2734,21,545,248,639,942,15733,2001,"Monterey"
"Smelt night",0,0,0,0,0,0,0,0,0,0,0,27,27,2001,"Monterey"
"Smelt surf",0,0,0,0,0,45,0,0,119,91,0,0,255,2001,"Monterey"
"Smelts true",0,0,0,0,0,0,0,0,22,0,0,0,22,2001,"Monterey"
"Sole Dover",72236,131583,167505,142769,133449,64772,88865,37363,71662,7228,600,6206,924238,2001,"Monterey"
"Sole English",4702,3794,2437,1963,3052,2325,3828,1736,6275,25744,27123,9033,92013,2001,"Monterey"
"Sole petrale",12246,8242,3437,666,1523,1178,2079,977,4485,24978,42999,21987,124796,2001,"Monterey"
"Sole rex",5836,1879,12826,3499,1967,1680,1420,37,1226,1648,1988,1591,35597,2001,"Monterey"
"Sole rock",0,0,0,0,0,0,0,0,3,0,0,10,13,2001,"Monterey"
"Sole sand",476,149,377,516,1540,1063,771,434,443,239,535,226,6770,2001,"Monterey"
"Sole unspecified",0,1,18,0,0,3,9,0,0,2,0,0,33,2001,"Monterey"
"Surfperch barred",0,0,0,0,0,4,0,0,0,0,0,0,4,2001,"Monterey"
"Surfperch unspecified",0,1,0,0,0,11,0,0,0,0,0,0,12,2001,"Monterey"
"Swordfish",0,0,0,0,0,0,0,0,0,0,6521,0,6521,2001,"Monterey"
"Thornyhead longspine",26682,30761,42872,14090,27300,5386,19380,8800,34507,8766,3492,1204,223239,2001,"Monterey"
"Thornyhead shortspine",8699,7264,20628,9079,6332,2478,5665,1987,10909,2816,1066,204,77126,2001,"Monterey"
"Thornyheads",269,374,323,1860,982,81,1475,50,0,80,1554,3429,10477,2001,"Monterey"
"Tuna albacore",0,0,0,0,0,40907,39110,98876,904907,264552,18379,0,1366732,2001,"Monterey"
"Tuna bluefin",0,0,0,0,0,0,0,0,13697,69922,12088,0,95707,2001,"Monterey"
"Tuna yellowfin",0,0,0,0,0,8,0,0,0,0,0,0,8,2001,"Monterey"
"Whitefish ocean",0,0,0,0,0,0,0,0,0,320,0,0,320,2001,"Monterey"
"Whiting Pacific",0,0,900,800,6,4,0,0,0,0,0,0,1710,2001,"Monterey"
"Crab Dungeness",2717,2801,2508,2741,845,2029,211,0,0,48,405,9955,24260,2001,"Monterey"
"Crab rock unspecified",238,470,0,0,48,0,250,645,725,540,0,0,2916,2001,"Monterey"
"Prawn spot",3060,5183,5915,697,5,320,60,3668,9055,8220,7400,4807,48389,2001,"Monterey"
"Sea stars",0,0,0,0,0,0,4,0,0,0,0,0,4,2001,"Monterey"
"Octopus unspecified",23,21,84,28,48,85,0,228,99,186,15,30,846,2001,"Monterey"
"Squid market",0,0,0,1366441,385548,198524,1827429,6874242,4356185,2069879,0,0,17078248,2001,"Monterey"
"Waters Area Total",5742048,3048566,403551,10106435,10960736,879009,2220061,7181652,6197493,8079366,5582747,3412206,63813870,2001,"Monterey"
"Thornyhead longspine",0,0,0,0,0,0,0,0,0,0,341,102,443,2001,"Monterey"
"Thornyhead shortspine",0,0,0,0,0,0,0,0,0,0,296,50,345,2001,"Monterey"
"Waters Area Total",0,0,0,0,0,0,0,0,0,0,637,151,788,2001,"Monterey"
"Grand Total",5742048,3048566,403551,10106435,10960736,879009,2220061,7181652,6197493,8079366,5583384,3412357,63814658,2001,"Monterey"
"Anchovy northern",133405,2321656,1034906,470933,54247,278941,539290,622942,281179,191464,300,0,5929263,2002,"Monterey"
"Barracuda California",0,0,6,30,0,0,0,15,0,0,0,0,51,2002,"Monterey"
"Bonito Pacific",0,0,0,0,29461,0,0,0,0,0,0,0,29461,2002,"Monterey"
"Butterfish Pacific pompano",0,0,16,581,8721,7380,4883,12410,8027,950,40,0,43008,2002,"Monterey"
"Cabezon",2518,6969,84,0,2370,1600,0,0,5,0,0,0,13545,2002,"Monterey"
"Croaker unspecifed",0,0,0,0,0,0,0,12,10,0,0,0,22,2002,"Monterey"
"Croaker white",171,130,473,593,1120,960,4030,2087,725,691,180,0,11160,2002,"Monterey"
"Eel monkeyface",0,0,0,0,0,21,0,0,0,0,0,0,21,2002,"Monterey"
"Flounder arrowtooth",0,0,49,0,0,0,0,0,0,0,0,0,49,2002,"Monterey"
"Flounder starry",37,383,425,1015,1913,2692,10,48,29,46,48,193,6839,2002,"Monterey"
"Flounder unspecified",259,377,523,0,0,0,0,1,0,0,0,0,1159,2002,"Monterey"
"Greenling kelp",531,932,6,0,346,87,0,0,0,0,0,0,1903,2002,"Monterey"
"Grenadiers",9359,7652,35153,31665,28629,15294,14572,20707,30313,22055,16221,5016,236636,2002,"Monterey"
"Halibut California",7180,8321,6439,8015,5565,7179,10580,18661,3977,2240,1693,4287,84135,2002,"Monterey"
"Herring Pacific",0,0,0,0,160,0,50,0,0,0,0,0,210,2002,"Monterey"
"Jacks unspecified",0,0,0,0,0,0,0,20,0,0,0,0,20,2002,"Monterey"
"Jacksmelt",49233,90,3267,2710,1450,980,2732,2152,2261,2360,646,0,67881,2002,"Monterey"
"Lingcod",1645,1785,284,1485,3466,1987,2082,2092,495,5473,18,0,20813,2002,"Monterey"
"Louvar",17,0,0,0,0,0,0,0,0,0,0,0,17,2002,"Monterey"
"Mackerel jack",0,0,0,0,0,0,0,0,3880,0,0,0,3880,2002,"Monterey"
"Mackerel unspecified",0,0,0,0,0,140,2,2,0,0,0,0,144,2002,"Monterey"
"Opah",353,0,0,0,0,0,18,0,0,0,0,0,371,2002,"Monterey"
"Queenfish",0,0,0,0,50,0,50,0,0,0,0,0,100,2002,"Monterey"
"Ratfish spotted",0,0,0,3458,0,0,0,0,0,0,0,0,3458,2002,"Monterey"
"Rockfish China",56,148,0,0,44,28,89,59,0,0,0,0,424,2002,"Monterey"
"Rockfish aurora",0,4,0,0,0,0,0,0,0,0,0,0,4,2002,"Monterey"
"Rockfish bank",3084,306,4,85,0,125,0,5739,0,7,388,0,9738,2002,"Monterey"
"Rockfish blackandyellow",516,1687,0,0,939,544,1224,1311,0,0,0,0,6222,2002,"Monterey"
"Rockfish black",34,198,0,0,41,84,99,142,0,0,0,0,597,2002,"Monterey"
"Rockfish blackgill",762,1517,2333,792,70,385,561,757,3911,2936,5397,2099,21519,2002,"Monterey"
"Rockfish blue",49,107,0,0,387,525,4135,2893,0,0,0,0,8096,2002,"Monterey"
"Rockfish bocaccio",2062,2618,2694,1148,3214,2227,0,0,0,0,0,15,13978,2002,"Monterey"
"Rockfish brown",1186,733,0,0,697,868,538,212,0,0,0,0,4234,2002,"Monterey"
"Rockfish canary",7,8,27,36,15,29,6,0,0,0,2,0,130,2002,"Monterey"
"Rockfish chilipepper",6746,19864,4348,7283,8941,23661,2248,0,36,1509,34,834,75504,2002,"Monterey"
"Rockfish copper",304,350,0,0,184,100,42,166,0,0,0,0,1145,2002,"Monterey"
"Rockfish cowcod",0,0,0,0,0,0,0,0,0,0,0,53,53,2002,"Monterey"
"Rockfish darkblotched",0,0,33,70,170,28,13,89,19,13,721,0,1156,2002,"Monterey"
"Rockfish flag",0,0,0,22,0,0,0,0,0,0,0,0,22,2002,"Monterey"
"Rockfish gopher",3169,4396,0,0,1461,1396,3290,3479,15,0,0,0,17206,2002,"Monterey"
