"species","area","year","month","landings"
"Dungeness Crab","Bodega Bay","2010-2011","Nov",2002625
"Dungeness Crab","Bodega Bay","2011-2012","Nov",150785
"Dungeness Crab","Bodega Bay","2012-2013","Nov",885865
"Dungeness Crab","Bodega Bay","2013-2014","Nov",1530881
"Dungeness Crab","Bodega Bay","2014-2015","Nov",2039111
"Dungeness Crab","Bodega Bay","2015-2016","Nov",0
"Dungeness Crab","Bodega Bay","2016-2017","Nov",764087
"Dungeness Crab","Bodega Bay","2017-2018","Nov",947423
"Dungeness Crab","Bodega Bay","2018-2019","Nov",518312
"Dungeness Crab","San Francisco","2000-2001","Nov",423404
"Dungeness Crab","San Francisco","2001-2002","Nov",10114
"Dungeness Crab","San Francisco","2002-2003","Nov",1706123
"Dungeness Crab","San Francisco","2003-2004","Nov",2016123
"Dungeness Crab","San Francisco","2004-2005","Nov",2721458
"Dungeness Crab","San Francisco","2005-2006","Nov",740757
"Dungeness Crab","San Francisco","2006-2007","Nov",2452562
"Dungeness Crab","San Francisco","2007-2008","Nov",1351
"Dungeness Crab","San Francisco","2008-2009","Nov",386212
"Dungeness Crab","San Francisco","2009-2010","Nov",1133069
"Dungeness Crab","San Francisco","2010-2011","Nov",4969763
"Dungeness Crab","San Francisco","2011-2012","Nov",369597
"Dungeness Crab","San Francisco","2011-2012","Nov",0
"Dungeness Crab","San Francisco","2012-2013","Nov",2768254
"Dungeness Crab","San Francisco","2013-2014","Nov",4357113
"Dungeness Crab","San Francisco","2013-2014","Nov",0
"Dungeness Crab","San Francisco","2014-2015","Nov",6196309
"Dungeness Crab","San Francisco","2015-2016","Nov",0
"Dungeness Crab","San Francisco","2016-2017","Nov",3865184
"Dungeness Crab","San Francisco","2016-2017","Nov",0
"Dungeness Crab","San Francisco","2017-2018","Nov",2057805
"Dungeness Crab","San Francisco","2018-2019","Nov",1393973
"Dungeness Crab","Monterey","2000-2001","Nov",4194
"Dungeness Crab","Monterey","2001-2002","Nov",405
"Dungeness Crab","Monterey","2002-2003","Nov",23251
"Dungeness Crab","Monterey","2003-2004","Nov",32565
"Dungeness Crab","Monterey","2004-2005","Nov",32095
"Dungeness Crab","Monterey","2005-2006","Nov",110077
"Dungeness Crab","Monterey","2006-2007","Nov",35888
"Dungeness Crab","Monterey","2007-2008","Nov",37678
"Dungeness Crab","Monterey","2008-2009","Nov",12970
"Dungeness Crab","Monterey","2009-2010","Nov",37154
"Dungeness Crab","Monterey","2010-2011","Nov",67943
"Dungeness Crab","Monterey","2011-2012","Nov",53962
"Dungeness Crab","Monterey","2012-2013","Nov",120213
"Dungeness Crab","Monterey","2013-2014","Nov",119195
"Dungeness Crab","Monterey","2014-2015","Nov",308911
"Dungeness Crab","Monterey","2015-2016","Nov",0
"Dungeness Crab","Monterey","2016-2017","Nov",45815
"Dungeness Crab","Monterey","2016-2017","Nov",545
"Dungeness Crab","Monterey","2017-2018","Nov",68844
"Dungeness Crab","Monterey","2018-2019","Nov",34796
"Dungeness Crab","Morro Bay","2000-2001","Nov",31
"Dungeness Crab","Morro Bay","2001-2002","Nov",0
"Dungeness Crab","Morro Bay","2002-2003","Nov",1501
"Dungeness Crab","Morro Bay","2003-2004","Nov",795
"Dungeness Crab","Morro Bay","2004-2005","Nov",1102
"Dungeness Crab","Morro Bay","2005-2006","Nov",0
"Dungeness Crab","Morro Bay","2006-2007","Nov",4498
"Dungeness Crab","Morro Bay","2007-2008","Nov",0
"Dungeness Crab","Morro Bay","2008-2009","Nov",0
"Dungeness Crab","Morro Bay","2009-2010","Nov",0
"Dungeness Crab","Morro Bay","2010-2011","Nov",0
"Dungeness Crab","Morro Bay","2011-2012","Nov",0
"Dungeness Crab","Morro Bay","2012-2013","Nov",23575
"Dungeness Crab","Morro Bay","2013-2014","Nov",24101
"Dungeness Crab","Morro Bay","2014-2015","Nov",46423
"Dungeness Crab","Morro Bay","2014-2015","Nov",0
"Dungeness Crab","Morro Bay","2015-2016","Nov",0
"Dungeness Crab","Morro Bay","2016-2017","Nov",22260
"Dungeness Crab","Morro Bay","2017-2018","Nov",8916
"Dungeness Crab","Morro Bay","2018-2019","Nov",10633
"Dungeness Crab","Santa Barbara","2002-2003","Nov",0
"Dungeness Crab","Santa Barbara","2004-2005","Nov",274
"Dungeness Crab","Santa Barbara","2005-2006","Nov",0
"Dungeness Crab","Santa Barbara","2006-2007","Nov",260
"Dungeness Crab","Santa Barbara","2007-2008","Nov",0
"Dungeness Crab","Santa Barbara","2009-2010","Nov",0
"Dungeness Crab","Santa Barbara","2010-2011","Nov",500
"Dungeness Crab","Santa Barbara","2011-2012","Nov",0
"Dungeness Crab","Santa Barbara","2012-2013","Nov",282
"Dungeness Crab","Santa Barbara","2013-2014","Nov",239
"Dungeness Crab","Santa Barbara","2014-2015","Nov",0
"Dungeness Crab","Santa Barbara","2017-2018","Nov",0
"Dungeness Crab","Santa Barbara","2018-2019","Nov",0
"Dungeness Crab","Los Angeles","2000-2001","Nov",0
"Dungeness Crab","Los Angeles","2001-2002","Nov",0
"Dungeness Crab","Los Angeles","2004-2005","Nov",50
"Dungeness Crab","Los Angeles","2005-2006","Nov",1
"Dungeness Crab","Los Angeles","2006-2007","Nov",0
"Dungeness Crab","Los Angeles","2009-2010","Nov",3
"Dungeness Crab","San Diego","2005-2006","Nov",0
"Dungeness Crab","San Diego","2009-2010","Nov",0
"Spiny Lobster","Fort Bragg","2002-2003","Nov",0
"Spiny Lobster","Morro Bay","2001-2002","Nov",0
"Spiny Lobster","Morro Bay","2002-2003","Nov",0
"Spiny Lobster","Morro Bay","2003-2004","Nov",0
"Spiny Lobster","Morro Bay","2005-2006","Nov",0
"Spiny Lobster","Morro Bay","2006-2007","Nov",0
"Spiny Lobster","Morro Bay","2016-2017","Nov",0
"Spiny Lobster","Morro Bay","2017-2018","Nov",98
"Spiny Lobster","Morro Bay","2018-2019","Nov",1794
"Spiny Lobster","Santa Barbara","2000-2001","Nov",40474
"Spiny Lobster","Santa Barbara","2000-2001","Nov",58
"Spiny Lobster","Santa Barbara","2001-2002","Nov",65931
"Spiny Lobster","Santa Barbara","2002-2003","Nov",58293
"Spiny Lobster","Santa Barbara","2003-2004","Nov",67550
"Spiny Lobster","Santa Barbara","2003-2004","Nov",0
"Spiny Lobster","Santa Barbara","2004-2005","Nov",72164
"Spiny Lobster","Santa Barbara","2005-2006","Nov",66799
"Spiny Lobster","Santa Barbara","2006-2007","Nov",69532
"Spiny Lobster","Santa Barbara","2007-2008","Nov",51120
"Spiny Lobster","Santa Barbara","2008-2009","Nov",48862
"Spiny Lobster","Santa Barbara","2009-2010","Nov",51495
"Spiny Lobster","Santa Barbara","2010-2011","Nov",56901
"Spiny Lobster","Santa Barbara","2011-2012","Nov",59611
"Spiny Lobster","Santa Barbara","2011-2012","Nov",28
"Spiny Lobster","Santa Barbara","2012-2013","Nov",70580
"Spiny Lobster","Santa Barbara","2013-2014","Nov",60108
"Spiny Lobster","Santa Barbara","2014-2015","Nov",69435
"Spiny Lobster","Santa Barbara","2015-2016","Nov",67173
"Spiny Lobster","Santa Barbara","2016-2017","Nov",52034
"Spiny Lobster","Santa Barbara","2016-2017","Nov",322
"Spiny Lobster","Santa Barbara","2017-2018","Nov",54617
"Spiny Lobster","Santa Barbara","2017-2018","Nov",284
"Spiny Lobster","Santa Barbara","2018-2019","Nov",83449
"Spiny Lobster","Los Angeles","2000-2001","Nov",42886
"Spiny Lobster","Los Angeles","2001-2002","Nov",44363
"Spiny Lobster","Los Angeles","2002-2003","Nov",36175
"Spiny Lobster","Los Angeles","2003-2004","Nov",34294
"Spiny Lobster","Los Angeles","2004-2005","Nov",46870
"Spiny Lobster","Los Angeles","2005-2006","Nov",43651
"Spiny Lobster","Los Angeles","2006-2007","Nov",56694
"Spiny Lobster","Los Angeles","2007-2008","Nov",42254
"Spiny Lobster","Los Angeles","2008-2009","Nov",51062
"Spiny Lobster","Los Angeles","2009-2010","Nov",54856
"Spiny Lobster","Los Angeles","2010-2011","Nov",37111
"Spiny Lobster","Los Angeles","2011-2012","Nov",63790
"Spiny Lobster","Los Angeles","2012-2013","Nov",65816
"Spiny Lobster","Los Angeles","2013-2014","Nov",51973
"Spiny Lobster","Los Angeles","2014-2015","Nov",42030
"Spiny Lobster","Los Angeles","2015-2016","Nov",39022
"Spiny Lobster","Los Angeles","2016-2017","Nov",33774
"Spiny Lobster","Los Angeles","2017-2018","Nov",27321
"Spiny Lobster","Los Angeles","2018-2019","Nov",42185
"Spiny Lobster","San Diego","2000-2001","Nov",56023
"Spiny Lobster","San Diego","2001-2002","Nov",41590
"Spiny Lobster","San Diego","2001-2002","Nov",3439
"Spiny Lobster","San Diego","2002-2003","Nov",42066
"Spiny Lobster","San Diego","2003-2004","Nov",47757
"Spiny Lobster","San Diego","2004-2005","Nov",61305
"Spiny Lobster","San Diego","2005-2006","Nov",58366
"Spiny Lobster","San Diego","2006-2007","Nov",77282
"Spiny Lobster","San Diego","2007-2008","Nov",45265
"Spiny Lobster","San Diego","2008-2009","Nov",45706
"Spiny Lobster","San Diego","2009-2010","Nov",51134
"Spiny Lobster","San Diego","2010-2011","Nov",49575
"Spiny Lobster","San Diego","2011-2012","Nov",59765
"Spiny Lobster","San Diego","2012-2013","Nov",78480
"Spiny Lobster","San Diego","2013-2014","Nov",61786
"Spiny Lobster","San Diego","2013-2014","Nov",0
"Spiny Lobster","San Diego","2014-2015","Nov",59875
"Spiny Lobster","San Diego","2015-2016","Nov",38669
"Spiny Lobster","San Diego","2016-2017","Nov",33280
"Spiny Lobster","San Diego","2017-2018","Nov",41274
"Spiny Lobster","San Diego","2018-2019","Nov",41628
"Spiny Lobster","San Diego","2018-2019","Nov",0
"Market Squid","Eureka","2000-2001","Nov",0
"Market Squid","Eureka","2001-2002","Nov",0
"Market Squid","Eureka","2004-2005","Nov",0
"Market Squid","Eureka","2014-2015","Nov",0
"Market Squid","Fort Bragg","2002-2003","Nov",0
"Market Squid","Fort Bragg","2006-2007","Nov",0
"Market Squid","Fort Bragg","2009-2010","Nov",303
"Market Squid","Fort Bragg","2010-2011","Nov",0
"Market Squid","Fort Bragg","2013-2014","Nov",0
"Market Squid","Fort Bragg","2015-2016","Nov",0
"Market Squid","Bodega Bay","2000-2001","Nov",0
"Market Squid","Bodega Bay","2003-2004","Nov",0
"Market Squid","Bodega Bay","2005-2006","Nov",0
"Market Squid","Bodega Bay","2013-2014","Nov",0
"Market Squid","Bodega Bay","2014-2015","Nov",0
"Market Squid","Bodega Bay","2015-2016","Nov",0
"Market Squid","San Francisco","2001-2002","Nov",0
"Market Squid","San Francisco","2002-2003","Nov",0
"Market Squid","San Francisco","2003-2004","Nov",0
"Market Squid","San Francisco","2004-2005","Nov",0
"Market Squid","San Francisco","2005-2006","Nov",0
"Market Squid","San Francisco","2006-2007","Nov",0
"Market Squid","San Francisco","2007-2008","Nov",0
"Market Squid","San Francisco","2008-2009","Nov",0
"Market Squid","San Francisco","2009-2010","Nov",0
"Market Squid","San Francisco","2010-2011","Nov",0
"Market Squid","San Francisco","2011-2012","Nov",0
"Market Squid","San Francisco","2012-2013","Nov",5422550
"Market Squid","San Francisco","2013-2014","Nov",0
"Market Squid","San Francisco","2014-2015","Nov",0
"Market Squid","San Francisco","2015-2016","Nov",0
"Market Squid","San Francisco","2015-2016","Nov",0
"Market Squid","San Francisco","2016-2017","Nov",105504
"Market Squid","San Francisco","2016-2017","Nov",0
"Market Squid","San Francisco","2017-2018","Nov",0
"Market Squid","San Francisco","2018-2019","Nov",0
"Market Squid","Monterey","2000-2001","Nov",10240
"Market Squid","Monterey","2001-2002","Nov",0
"Market Squid","Monterey","2002-2003","Nov",1754321
"Market Squid","Monterey","2003-2004","Nov",8034767
"Market Squid","Monterey","2004-2005","Nov",0
"Market Squid","Monterey","2005-2006","Nov",0
"Market Squid","Monterey","2006-2007","Nov",0
"Market Squid","Monterey","2007-2008","Nov",52315
"Market Squid","Monterey","2008-2009","Nov",0
"Market Squid","Monterey","2009-2010","Nov",0
"Market Squid","Monterey","2010-2011","Nov",524681
"Market Squid","Monterey","2011-2012","Nov",0
"Market Squid","Monterey","2012-2013","Nov",7043262
"Market Squid","Monterey","2013-2014","Nov",0
"Market Squid","Monterey","2014-2015","Nov",937320
"Market Squid","Monterey","2015-2016","Nov",3851652
"Market Squid","Monterey","2016-2017","Nov",286561
"Market Squid","Monterey","2017-2018","Nov",0
"Market Squid","Monterey","2018-2019","Nov",2115453
"Market Squid","Morro Bay","2000-2001","Nov",0
"Market Squid","Morro Bay","2001-2002","Nov",50823
"Market Squid","Morro Bay","2002-2003","Nov",12
"Market Squid","Morro Bay","2003-2004","Nov",0
"Market Squid","Morro Bay","2004-2005","Nov",62814
"Market Squid","Morro Bay","2005-2006","Nov",0
"Market Squid","Morro Bay","2007-2008","Nov",0
"Market Squid","Morro Bay","2009-2010","Nov",84365
"Market Squid","Morro Bay","2010-2011","Nov",0
"Market Squid","Morro Bay","2011-2012","Nov",32
"Market Squid","Morro Bay","2012-2013","Nov",80
"Market Squid","Morro Bay","2013-2014","Nov",382
"Market Squid","Morro Bay","2014-2015","Nov",293851
"Market Squid","Morro Bay","2015-2016","Nov",0
"Market Squid","Morro Bay","2016-2017","Nov",23754
"Market Squid","Morro Bay","2017-2018","Nov",363009
"Market Squid","Morro Bay","2018-2019","Nov",119493
"Market Squid","Santa Barbara","2000-2001","Nov",34792518
"Market Squid","Santa Barbara","2001-2002","Nov",17822711
"Market Squid","Santa Barbara","2002-2003","Nov",4985856
"Market Squid","Santa Barbara","2003-2004","Nov",18612035
"Market Squid","Santa Barbara","2004-2005","Nov",12380230
"Market Squid","Santa Barbara","2005-2006","Nov",4443619
"Market Squid","Santa Barbara","2006-2007","Nov",874518
"Market Squid","Santa Barbara","2007-2008","Nov",15026199
"Market Squid","Santa Barbara","2008-2009","Nov",8465633
"Market Squid","Santa Barbara","2009-2010","Nov",32676639
"Market Squid","Santa Barbara","2010-2011","Nov",52672512
"Market Squid","Santa Barbara","2011-2012","Nov",57926947
"Market Squid","Santa Barbara","2012-2013","Nov",11144373
"Market Squid","Santa Barbara","2013-2014","Nov",0
"Market Squid","Santa Barbara","2014-2015","Nov",10075131
"Market Squid","Santa Barbara","2015-2016","Nov",5734670
"Market Squid","Santa Barbara","2016-2017","Nov",5314690
"Market Squid","Santa Barbara","2017-2018","Nov",30182570
"Market Squid","Santa Barbara","2017-2018","Nov",13950
"Market Squid","Santa Barbara","2018-2019","Nov",13884912
"Market Squid","Los Angeles","2000-2001","Nov",26609799
"Market Squid","Los Angeles","2001-2002","Nov",21373406
"Market Squid","Los Angeles","2001-2002","Nov",0
"Market Squid","Los Angeles","2002-2003","Nov",1574382
"Market Squid","Los Angeles","2003-2004","Nov",3640842
"Market Squid","Los Angeles","2004-2005","Nov",1657819
"Market Squid","Los Angeles","2005-2006","Nov",12562462
"Market Squid","Los Angeles","2006-2007","Nov",321054
"Market Squid","Los Angeles","2007-2008","Nov",4794566
"Market Squid","Los Angeles","2008-2009","Nov",134517
"Market Squid","Los Angeles","2009-2010","Nov",8799736
"Market Squid","Los Angeles","2010-2011","Nov",37288658
"Market Squid","Los Angeles","2011-2012","Nov",47057231
"Market Squid","Los Angeles","2012-2013","Nov",51189198
"Market Squid","Los Angeles","2012-2013","Nov",0
"Market Squid","Los Angeles","2013-2014","Nov",72240
"Market Squid","Los Angeles","2014-2015","Nov",4907531
"Market Squid","Los Angeles","2015-2016","Nov",590256
"Market Squid","Los Angeles","2016-2017","Nov",926539
"Market Squid","Los Angeles","2016-2017","Nov",0
"Market Squid","Los Angeles","2017-2018","Nov",8028508
"Market Squid","Los Angeles","2017-2018","Nov",0
"Market Squid","Los Angeles","2018-2019","Nov",1587717
"Market Squid","San Diego","2000-2001","Nov",32000
"Market Squid","San Diego","2001-2002","Nov",0
"Market Squid","San Diego","2004-2005","Nov",0
"Market Squid","San Diego","2006-2007","Nov",0
"Market Squid","San Diego","2007-2008","Nov",0
"Market Squid","San Diego","2008-2009","Nov",0
"Market Squid","San Diego","2010-2011","Nov",100
"Market Squid","San Diego","2011-2012","Nov",0
"Market Squid","San Diego","2012-2013","Nov",300
"Market Squid","San Diego","2013-2014","Nov",110
"Market Squid","San Diego","2017-2018","Nov",5
"Market Squid","San Diego","2018-2019","Nov",0
"Albacore Tuna","Eureka","2000-2001","Nov",8410
"Albacore Tuna","Eureka","2000-2001","Nov",0
"Albacore Tuna","Eureka","2001-2002","Nov",0
"Albacore Tuna","Eureka","2001-2002","Nov",0
"Albacore Tuna","Eureka","2001-2002","Nov",0
"Albacore Tuna","Eureka","2002-2003","Nov",493317
"Albacore Tuna","Eureka","2002-2003","Nov",0
"Albacore Tuna","Eureka","2003-2004","Nov",0
"Albacore Tuna","Eureka","2003-2004","Nov",0
"Albacore Tuna","Eureka","2004-2005","Nov",2520
"Albacore Tuna","Eureka","2004-2005","Nov",0
"Albacore Tuna","Eureka","2005-2006","Nov",0
"Albacore Tuna","Eureka","2005-2006","Nov",0
"Albacore Tuna","Eureka","2006-2007","Nov",974
"Albacore Tuna","Eureka","2006-2007","Nov",635
"Albacore Tuna","Eureka","2007-2008","Nov",0
"Albacore Tuna","Eureka","2007-2008","Nov",0
"Albacore Tuna","Eureka","2008-2009","Nov",735
"Albacore Tuna","Eureka","2008-2009","Nov",0
"Albacore Tuna","Eureka","2008-2009","Nov",0
"Albacore Tuna","Eureka","2009-2010","Nov",14583
"Albacore Tuna","Eureka","2009-2010","Nov",0
"Albacore Tuna","Eureka","2009-2010","Nov",0
"Albacore Tuna","Eureka","2010-2011","Nov",0
"Albacore Tuna","Eureka","2010-2011","Nov",264
"Albacore Tuna","Eureka","2011-2012","Nov",0
"Albacore Tuna","Eureka","2011-2012","Nov",0
"Albacore Tuna","Eureka","2011-2012","Nov",0
"Albacore Tuna","Eureka","2012-2013","Nov",0
"Albacore Tuna","Eureka","2012-2013","Nov",0
"Albacore Tuna","Eureka","2012-2013","Nov",38448
"Albacore Tuna","Eureka","2013-2014","Nov",745
"Albacore Tuna","Eureka","2013-2014","Nov",0
"Albacore Tuna","Eureka","2013-2014","Nov",0
"Albacore Tuna","Eureka","2014-2015","Nov",5194
"Albacore Tuna","Eureka","2014-2015","Nov",0
"Albacore Tuna","Eureka","2014-2015","Nov",0
"Albacore Tuna","Eureka","2015-2016","Nov",187
"Albacore Tuna","Eureka","2015-2016","Nov",0
"Albacore Tuna","Eureka","2015-2016","Nov",0
"Albacore Tuna","Eureka","2016-2017","Nov",0
"Albacore Tuna","Eureka","2016-2017","Nov",0
"Albacore Tuna","Eureka","2017-2018","Nov",0
"Albacore Tuna","Eureka","2017-2018","Nov",0
"Albacore Tuna","Eureka","2018-2019","Nov",1229
"Albacore Tuna","Eureka","2018-2019","Nov",0
"Albacore Tuna","Fort Bragg","2000-2001","Nov",308
"Albacore Tuna","Fort Bragg","2001-2002","Nov",0
"Albacore Tuna","Fort Bragg","2002-2003","Nov",0
"Albacore Tuna","Fort Bragg","2003-2004","Nov",0
"Albacore Tuna","Fort Bragg","2004-2005","Nov",0
"Albacore Tuna","Fort Bragg","2005-2006","Nov",1329
"Albacore Tuna","Fort Bragg","2005-2006","Nov",0
"Albacore Tuna","Fort Bragg","2006-2007","Nov",0
"Albacore Tuna","Fort Bragg","2007-2008","Nov",0
"Albacore Tuna","Fort Bragg","2007-2008","Nov",0
"Albacore Tuna","Fort Bragg","2008-2009","Nov",0
"Albacore Tuna","Fort Bragg","2009-2010","Nov",0
"Albacore Tuna","Fort Bragg","2009-2010","Nov",0
"Albacore Tuna","Fort Bragg","2009-2010","Nov",0
"Albacore Tuna","Fort Bragg","2010-2011","Nov",0
"Albacore Tuna","Fort Bragg","2011-2012","Nov",0
"Albacore Tuna","Fort Bragg","2011-2012","Nov",0
"Albacore Tuna","Fort Bragg","2012-2013","Nov",1629
"Albacore Tuna","Fort Bragg","2012-2013","Nov",0
"Albacore Tuna","Fort Bragg","2013-2014","Nov",8130
"Albacore Tuna","Fort Bragg","2013-2014","Nov",0
"Albacore Tuna","Fort Bragg","2014-2015","Nov",0
"Albacore Tuna","Fort Bragg","2014-2015","Nov",0
"Albacore Tuna","Fort Bragg","2015-2016","Nov",0
"Albacore Tuna","Fort Bragg","2015-2016","Nov",0
"Albacore Tuna","Fort Bragg","2016-2017","Nov",0
"Albacore Tuna","Fort Bragg","2016-2017","Nov",0
"Albacore Tuna","Fort Bragg","2017-2018","Nov",0
"Albacore Tuna","Fort Bragg","2018-2019","Nov",0
"Albacore Tuna","Bodega Bay","2000-2001","Nov",10787
"Albacore Tuna","Bodega Bay","2000-2001","Nov",0
"Albacore Tuna","Bodega Bay","2001-2002","Nov",7519
"Albacore Tuna","Bodega Bay","2002-2003","Nov",31575
"Albacore Tuna","Bodega Bay","2003-2004","Nov",2205
"Albacore Tuna","Bodega Bay","2004-2005","Nov",0
"Albacore Tuna","Bodega Bay","2005-2006","Nov",0
"Albacore Tuna","Bodega Bay","2006-2007","Nov",0
"Albacore Tuna","Bodega Bay","2006-2007","Nov",1705
"Albacore Tuna","Bodega Bay","2007-2008","Nov",0
"Albacore Tuna","Bodega Bay","2008-2009","Nov",0
"Albacore Tuna","Bodega Bay","2009-2010","Nov",5436
"Albacore Tuna","Bodega Bay","2010-2011","Nov",0
"Albacore Tuna","Bodega Bay","2011-2012","Nov",0
"Albacore Tuna","Bodega Bay","2012-2013","Nov",0
"Albacore Tuna","Bodega Bay","2013-2014","Nov",0
"Albacore Tuna","Bodega Bay","2014-2015","Nov",0
"Albacore Tuna","Bodega Bay","2016-2017","Nov",0
"Albacore Tuna","Bodega Bay","2017-2018","Nov",0
"Albacore Tuna","Bodega Bay","2018-2019","Nov",0
"Albacore Tuna","San Francisco","2000-2001","Nov",16895
"Albacore Tuna","San Francisco","2001-2002","Nov",2609
"Albacore Tuna","San Francisco","2002-2003","Nov",7682
"Albacore Tuna","San Francisco","2003-2004","Nov",0
"Albacore Tuna","San Francisco","2004-2005","Nov",899
"Albacore Tuna","San Francisco","2005-2006","Nov",2688
"Albacore Tuna","San Francisco","2006-2007","Nov",0
"Albacore Tuna","San Francisco","2006-2007","Nov",0
"Albacore Tuna","San Francisco","2007-2008","Nov",0
"Albacore Tuna","San Francisco","2007-2008","Nov",0
"Albacore Tuna","San Francisco","2008-2009","Nov",442
"Albacore Tuna","San Francisco","2008-2009","Nov",7469
"Albacore Tuna","San Francisco","2009-2010","Nov",0
"Albacore Tuna","San Francisco","2009-2010","Nov",0
"Albacore Tuna","San Francisco","2010-2011","Nov",0
"Albacore Tuna","San Francisco","2011-2012","Nov",1132
"Albacore Tuna","San Francisco","2011-2012","Nov",15714
"Albacore Tuna","San Francisco","2011-2012","Nov",49967
"Albacore Tuna","San Francisco","2012-2013","Nov",2536
"Albacore Tuna","San Francisco","2012-2013","Nov",0
"Albacore Tuna","San Francisco","2013-2014","Nov",1432
"Albacore Tuna","San Francisco","2013-2014","Nov",0
"Albacore Tuna","San Francisco","2014-2015","Nov",0
"Albacore Tuna","San Francisco","2014-2015","Nov",0
"Albacore Tuna","San Francisco","2015-2016","Nov",0
"Albacore Tuna","San Francisco","2015-2016","Nov",0
"Albacore Tuna","San Francisco","2015-2016","Nov",0
"Albacore Tuna","San Francisco","2016-2017","Nov",0
"Albacore Tuna","San Francisco","2016-2017","Nov",0
"Albacore Tuna","San Francisco","2017-2018","Nov",0
"Albacore Tuna","San Francisco","2017-2018","Nov",399
"Albacore Tuna","San Francisco","2017-2018","Nov",0
"Albacore Tuna","San Francisco","2018-2019","Nov",0
"Albacore Tuna","San Francisco","2018-2019","Nov",0
"Albacore Tuna","Monterey","2000-2001","Nov",12431
"Albacore Tuna","Monterey","2001-2002","Nov",18379
"Albacore Tuna","Monterey","2002-2003","Nov",81344
"Albacore Tuna","Monterey","2003-2004","Nov",5397
"Albacore Tuna","Monterey","2003-2004","Nov",0
"Albacore Tuna","Monterey","2004-2005","Nov",29986
"Albacore Tuna","Monterey","2005-2006","Nov",7206
"Albacore Tuna","Monterey","2005-2006","Nov",0
"Albacore Tuna","Monterey","2006-2007","Nov",1333
"Albacore Tuna","Monterey","2006-2007","Nov",0
"Albacore Tuna","Monterey","2006-2007","Nov",4826
"Albacore Tuna","Monterey","2007-2008","Nov",1968
"Albacore Tuna","Monterey","2008-2009","Nov",342
"Albacore Tuna","Monterey","2008-2009","Nov",0
