"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year"
"Ray Pacific electric",335,55,41,134,22,0,0,0,101,0,50,0,738,2011
"Ray bat",953,20,162,0,549,50,732,1833,2420,0,1799,0,8518,2011
"Ray unspecified",22,0,0,0,0,0,0,0,62,0,0,0,84,2011
"Rockfish China",227,186,0,0,224,430,524,616,544,730,274,544,4300,2011
"Rockfish Pacific ocean perch",1,1,3,4,14,9,6,29,23,16,52,5,163,2011
"Rockfish aurora",51,34,20,64,36,109,31,1388,2569,166,21,49,4537,2011
"Rockfish bank",372,162,24,1422,472,2468,91,8065,415,84,15,0,13590,2011
"Rockfish blackandyellow",1909,1546,11,0,2795,2509,4998,2894,4096,2618,2253,1529,27157,2011
"Rockfish black",1146,1375,322,801,7467,7836,9144,13783,7519,5602,632,2965,58591,2011
"Rockfish blackgill",29893,29904,12287,20896,17619,24378,37145,30104,31048,18272,16299,9470,277314,2011
"Rockfish blue",1737,1293,558,1530,1005,556,718,1177,1203,2295,1623,1980,15676,2011
"Rockfish bocaccio",544,569,0,0,270,2181,1239,846,2476,1970,1561,5012,16668,2011
"Rockfish brown",6134,4990,0,0,5553,5757,9452,7133,7252,6053,4683,6467,63475,2011
"Rockfish canary",0,0,0,0,0,1,4,26,323,315,44,7,720,2011
"Rockfish chameleon",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"Rockfish chilipepper",14,161,58,645,1460,22205,135300,60715,263834,101814,46276,13841,646320,2011
"Rockfish copper",804,408,3,0,626,655,931,959,583,959,581,1443,7952,2011
"Rockfish cowcod",0,0,0,8,0,0,0,4,5,14,1,0,32,2011
"Rockfish darkblotched",57,163,160,254,1381,783,315,1040,808,190,1481,817,7449,2011
"Rockfish flag",40,18,0,0,50,17,25,36,43,55,77,55,415,2011
"Rockfish gopher",6110,4129,18,0,5201,8859,9643,6927,5835,5582,5444,8683,66430,2011
"Rockfish grass",1394,2189,2,0,2941,2197,4405,2086,3702,3644,2308,2085,26953,2011
"Rockfish greenblotched",101,29,0,0,0,0,2,0,0,32,0,56,220,2011
"Rockfish greenspotted",211,172,1,0,171,153,288,164,105,210,327,168,1970,2011
"Rockfish greenstriped",13,5,0,0,65,10,10,7,48,13,14,18,205,2011
"Rockfish group bolina",13,0,0,0,0,0,11,8,0,35,0,0,67,2011
"Rockfish group nearshore",0,0,0,0,0,2,0,0,2,0,2,0,6,2011
"Rockfish group red",246,125,0,0,319,123,245,326,522,17,283,140,2346,2011
"Rockfish group rosefish",0,0,0,0,0,0,0,5,0,0,0,0,5,2011
"Rockfish group shelf",244,91,0,0,133,238,138,1,26,63,4,106,1043,2011
"Rockfish group slope",543,158,511,1460,4876,14149,8600,16266,31904,12280,12745,27075,130566,2011
"Rockfish group small",0,0,0,0,0,0,4,0,0,3,0,8,15,2011
"Rockfish honeycomb",0,0,0,0,0,12,37,9,3,1,7,9,78,2011
"Rockfish kelp",248,354,0,0,118,157,84,177,86,118,103,158,1601,2011
"Rockfish olive",6,35,0,0,103,174,257,231,217,181,79,73,1356,2011
"Rockfish quillback",10,50,6,5,127,120,380,124,403,404,81,355,2066,2011
"Rockfish redbanded",0,2,8,40,4,160,3,67,12,3,0,0,299,2011
"Rockfish rosethorn",0,0,0,0,0,0,0,0,14,18,0,44,76,2011
"Rockfish rosy",67,26,0,0,3,58,35,20,17,11,13,3,252,2011
"Rockfish shortbelly",0,0,0,0,0,0,0,0,720,237,0,0,957,2011
"Rockfish speckled",106,30,0,0,2,33,12,9,26,18,74,5,314,2011
"Rockfish splitnose",253,11,318,460,1150,867,1547,3929,4588,1667,2775,4116,21680,2011
"Rockfish squarespot",0,0,0,0,0,0,1,0,0,1,0,0,2,2011
"Rockfish starry",52,58,0,0,52,139,109,61,69,88,71,49,748,2011
"Rockfish treefish",396,210,0,0,372,542,845,541,346,319,319,308,4199,2011
"Rockfish unspecified",10,0,0,117,22,16,0,11,0,95,0,673,944,2011
"Rockfish vermilion",5336,3517,12,5,2960,3326,3326,4106,4538,3963,2862,4033,37984,2011
"Rockfish widow",15,6,5,0,24,5,369,118,1610,231,88,201,2672,2011
"Rockfish yelloweye",0,0,0,0,8,0,0,0,0,0,0,0,8,2011
"Rockfish yellowtail",204,138,20,176,88,359,171,363,335,557,48,142,2600,2011
"Sablefish",222474,224389,182683,318598,282661,576618,533745,545682,764914,667139,491757,494120,5304779,2011
"Salmon Chinook",0,0,0,0,147132,69060,446724,294646,21500,6396,0,0,985458,2011
"Salmon Roe Chinook Coho",0,0,0,0,0,0,0,6,5,0,0,0,11,2011
"Salmon chum",0,0,0,0,0,0,5,0,0,0,0,0,5,2011
"Sanddab Pacific",0,7,0,0,0,3,5,735,2306,3599,0,1223,7878,2011
"Sanddab",1122,381,676,1209,3003,8368,24069,16262,18570,11369,14375,4909,104313,2011
"Sardine Pacific  ",27966490,4835527,676656,5,94905,24322,17865713,101592,9463916,42530,26328,3,61097986,2011
"Sargo",0,30,0,0,2,0,3,8,0,0,0,0,43,2011
"Scorpionfish California",442,769,22,13,803,2557,2045,696,301,351,741,1273,10013,2011
"Sculpin staghorn",67,60,93,73,85,286,359,463,806,834,495,497,4118,2011
"Seabass white",3167,5947,9928,1344,2017,222118,144590,49103,65028,28636,9000,2379,543258,2011
"Seaperch striped",0,20,0,0,0,0,0,2,0,0,0,0,22,2011
"Senorita",9,0,0,0,0,0,0,0,0,0,0,0,9,2011
"Shad threadfin",0,0,0,330,390,765,378,1891,2231,3767,3862,315,13929,2011
"Shark Pacific angel",1243,1281,669,1179,1186,1809,900,667,598,234,400,779,10944,2011
"Shark bigeye thresher",0,0,0,0,0,0,0,390,1024,269,72,0,1755,2011
"Shark blue",56,0,0,0,0,0,0,0,0,0,0,0,56,2011
"Shark brown smoothhound",55,42,6,41,4,3,6,0,5,0,0,0,162,2011
"Shark gray smoothhound",0,0,0,6,0,0,0,8,0,0,24,0,38,2011
"Shark horn",17,19,4,0,0,0,0,0,5,0,0,0,45,2011
"Shark leopard",766,168,404,676,600,334,322,153,234,336,138,410,4541,2011
"Shark pelagic thresher",440,0,0,0,0,0,0,0,0,0,0,0,440,2011
"Shark sevengill",24,65,36,38,233,64,0,42,36,87,0,0,624,2011
"Shark shortfin mako",17,288,50,701,178,6265,5523,1065,2984,5825,4049,1909,28854,2011
"Shark sixgill",14,0,9,0,0,0,0,36,0,7,0,0,66,2011
"Shark soupfin",112,471,303,187,343,565,193,68,30,1526,738,110,4644,2011
"Shark spiny dogfish",977,21,17,0,0,4,6,13,75,4,0,0,1117,2011
"Shark swell",0,6,0,0,0,0,8,0,0,0,0,0,14,2011
"Shark thresher",4354,1071,761,1228,2778,5142,4266,4254,4946,1943,19852,47532,98125,2011
"Shark unspecified",825,191,40,24,130,128,108,49,429,160,54,60,2198,2011
"Shark white",0,0,0,0,0,479,0,0,0,0,85,0,564,2011
"Sheephead California",5961,5713,0,0,9819,11813,9944,8029,3012,1637,4744,7368,68040,2011
"Skate California",0,0,0,0,0,377,100,198,47,54,0,0,776,2011
"Skate big",0,0,0,0,0,0,7,459,183,56,0,0,705,2011
"Skate longnose",1324,10780,20497,20073,19961,32318,20287,44009,57178,71514,49473,29837,377251,2011
"Skate thornback",86,33,65,0,0,0,0,0,6,0,0,0,190,2011
"Skate unspecified",1651,894,715,1582,1013,1001,5752,15265,22200,12977,1461,917,65428,2011
"Smelt night",7713,43418,11109,27721,87013,59149,30542,19102,2496,0,0,0,288263,2011
"Smelt surf",0,312,0,0,5215,35046,21172,4546,2241,0,0,0,68532,2011
"Sole Dover",5898,175486,320131,338106,305216,521577,485785,774617,861645,710082,487778,332212,5318533,2011
"Sole English",467,623,425,1749,1622,4732,3432,5684,12801,6064,2597,1176,41372,2011
"Sole bigmouth",0,0,0,0,0,0,0,0,1,0,0,1,2,2011
"Sole fantail",0,0,0,0,301,0,8,0,0,0,0,0,309,2011
"Sole petrale",1173,18518,20974,3880,2706,8778,16459,33060,48087,31507,67373,131813,384328,2011
"Sole rex",1216,3688,5474,11269,20719,8917,9606,22413,28382,15487,13114,9703,149989,2011
"Sole rock",13,36,102,144,11,100,1372,888,1092,344,288,38,4427,2011
"Sole sand",1490,1817,787,1296,691,1735,6738,4423,3483,2907,1119,2638,29122,2011
"Sole slender",0,0,0,0,0,0,0,0,0,0,3,3,6,2011
"Sole unspecified",8766,3501,2464,4410,1812,955,994,862,458,1324,1524,2400,29469,2011
"Stingray",523,1116,147,817,712,1,8,2769,8,415,0,0,6515,2011
"Surfperch barred",239,530,495,234,0,0,132,1960,546,313,327,504,5280,2011
"Surfperch black",0,3,0,0,0,0,0,0,0,0,3,1,7,2011
"Surfperch calico",11,0,0,0,0,0,0,0,8,68,203,0,290,2011
"Surfperch rainbow",27,87,82,0,0,0,0,0,0,0,0,0,196,2011
"Surfperch redtail",59,145,235,4774,0,0,0,2648,482,20,0,106,8469,2011
"Surfperch rubberlip",32,49,33,0,0,0,0,34,13,5,141,119,425,2011
"Surfperch shiner",0,0,25,3,16,21,19,15,18,8,3,0,127,2011
"Surfperch unspecified",541,144,309,17,5,1,0,143,7,89,294,53,1602,2011
"Surfperch walleye",11,16,0,0,0,0,0,0,0,0,0,11,38,2011
"Swordfish",145872,133830,119538,96313,0,557,8425,19057,10060,125050,171430,111294,941425,2011
"Thornyhead longspine",31436,49383,44024,84057,78564,161129,114028,79687,122699,146927,60076,44683,1016692,2011
"Thornyhead shortspine",50642,49846,64416,70366,69640,94895,83323,93500,123150,121888,100683,91484,1013833,2011
"Thornyheads",1863,90,4,3,18,0,35,5,3,12,19,5,2056,2011
"Tomcod Pacific",0,0,0,0,0,0,0,0,0,0,3,0,3,2011
"Topsmelt",0,0,0,0,0,0,0,0,0,19,0,0,19,2011
"Trawled fish unspecified",0,0,99,250,113,265,558,461,716,802,630,661,4555,2011
"Tuna albacore",848,7411,6564,3023,143,0,25127,126564,439787,659713,124225,6859,1400263,2011
"Tuna bigeye",1819,18225,23073,16374,4077,0,0,0,5880,0,0,11308,80756,2011
"Tuna bluefin",0,0,0,0,0,0,218141,187,369,9099,20735,11894,260424,2011
"Tuna skipjack",0,1150,335,82,0,0,0,0,36,21,0,364,1988,2011
"Tuna unspecified",0,0,0,0,0,0,0,0,0,681,0,0,681,2011
"Tuna yellowfin",0,0,0,0,0,0,0,955,194,0,6438,36,7623,2011
"Turbot curlfin",0,0,0,0,0,0,0,72,84,175,15,0,346,2011
"Turbot hornyhead",552,981,415,978,1621,526,1337,1012,865,732,673,362,10054,2011
"Turbot",2,5,16,16,23,66,87,30,26,41,0,0,312,2011
"Wahoo",0,129,36,48,0,0,0,0,93,0,0,209,515,2011
"Whitefish ocean",259,550,0,4,248,243,299,647,32,81,148,1035,3545,2011
"Whiting Pacific",127,8,39,333,0,0,10,9,6650,2107,954,4,10241,2011
"Yellowtail",0,0,0,0,26,2232,1463,487,610,100,76,0,4994,2011
"Crab Dungeness",5339521,1787502,892747,619794,299546,205039,12713,0,0,0,574345,10863945,20600686,2011
"Crab armed box",36,6,12,0,0,0,0,0,0,0,8,227,289,2011
"Crab box",14,12,5,16,120,205,285,30,0,29,90,0,807,2011
"Crab brown rock",3732,4652,3680,4763,7356,7702,9274,7767,7110,4853,4836,3203,68926,2011
"Crab claws",241,165,163,517,332,73,0,39,0,101,0,12,1643,2011
"Crab king",102,90,140,281,264,37,36,115,26,93,0,0,1184,2011
"Crab red rock",15522,14339,20131,21883,28832,24936,31786,31533,35150,25032,24561,30744,304448,2011
"Crab rock unspecified",29870,25363,36120,40708,41923,51884,60781,40228,40386,31750,31621,36527,467163,2011
"Crab spider",8020,6505,6569,4818,2404,4575,5052,5232,3109,5742,5084,4185,61294,2011
"Crab spidersheep claws",96,76,36,63,42,24,11,17,0,0,0,18,383,2011
"Crab tanner",1,33,3012,66,1,2,45,0,5,6,3,43,3217,2011
"Crab yellow rock",34377,40335,56412,68358,81116,73498,64231,79368,60478,33361,31227,42635,665395,2011
"Crayfish red swamp",0,0,0,0,0,0,0,545,400,0,0,0,945,2011
"Crayfish unspecified",1563,1489,1684,1199,6147,7977,10749,29441,51875,25207,3042,3110,143483,2011
"Crustacean unspecified",0,0,0,6,0,0,0,0,0,0,0,0,6,2011
"Lobster California spiny",91092,56383,28480,0,0,0,0,0,0,261568,183193,130359,751075,2011
"Prawn ridgeback",37139,20354,23010,16036,8347,60,10,129,222,37423,31180,20176,194087,2011
"Prawn spot",8335,30113,28288,24472,24655,34997,33469,44387,42753,46245,90973,12259,420946,2011
"Shrimp bay",6464,4425,4033,1616,2016,2734,3574,2870,3349,2120,1497,3652,38350,2011
"Shrimp brine",0,0,0,0,0,0,49895,81973,57534,1434,0,0,190836,2011
"Shrimp coonstriped",0,0,0,0,976,31176,13282,11019,10950,10871,0,0,78274,2011
"Shrimp ghost",0,0,0,0,0,0,0,11,11,1,1,3,28,2011
"Shrimp mantis",248,199,809,846,131,13,0,0,0,83,75,55,2459,2011
"Shrimp ocean pink",0,0,7,748974,1672328,1330511,934077,1294235,909614,485393,0,0,7375139,2011
"Shrimp unspecified",0,54,0,0,0,0,0,0,0,0,0,0,54,2011
"Bryozoan",0,0,7,0,0,0,0,0,0,0,0,0,7,2011
"Echinoderm unspecified",0,0,0,0,1,0,0,0,0,0,0,0,1,2011
"Sand dollar",0,0,0,16,0,0,0,6,0,0,0,0,22,2011
"Sea cucumber giant red",12957,16729,23096,15791,34821,46182,49052,36057,39863,25765,15970,12921,329202,2011
"Sea cucumber unspecified",0,1416,8466,95,40,1499,874,627,800,601,0,0,14618,2011
"Sea cucumber warty",15999,28030,45126,60222,79890,117167,73575,59521,31462,4464,967,4119,521078,2011
"Sea stars",35,17,810,19,45,10,24,38,10,5,0,0,1013,2011
"Sea urchin purple",882,254,90,116,247,508,139,284,154,3339,86,262,6361,2011
"Sea urchin red",1089428,949329,667416,905641,799447,924179,774855,968997,1013546,1019819,1131973,1249924,11494551,2011
"Sea urchin white",0,44,29,68,28,18,16,53,22,10,16,1611,1915,2011
"Clam rosy razor",0,0,0,0,0,0,0,0,0,6,0,0,6,2011
"Clam unspecified",0,0,0,0,0,0,0,0,0,120,0,0,120,2011
"Limpet keyhole",0,0,61,101,0,0,19,661,0,14,0,0,856,2011
"Mollusk unspecified",0,0,0,0,0,1,0,0,0,0,19,0,20,2011
"Octopus unspecified",677,806,620,761,716,778,652,539,116,71,124,339,6200,2011
"Sea hare",257,208,373,224,368,203,138,76,121,249,213,52,2482,2011
"Sea slug",0,0,0,0,0,0,0,0,0,0,40,0,40,2011
"Snail sea",440,0,0,0,0,0,0,0,9,0,0,0,449,2011
"Snail top",107,65,165,92,150,83,51,0,54,107,86,31,990,2011
"Squid jumbo",5,0,11,0,0,0,0,0,5520,22,10,0,5568,2011
"Squid market",772461,925305,33463,447737,9981055,7211751,14109119,18346340,30487634,78530580,104984211,2155594,267985250,2011
"Whelk Kellets",12360,13569,12755,6141,2970,9478,11822,11161,9408,9209,11703,14955,125531,2011
"Kelp",0,69,0,52,38,0,0,0,0,0,0,0,159,2011
"Anemones",0,0,1,0,0,0,0,0,0,0,0,0,1,2011
"Jellyfish",0,0,0,0,10,0,0,9396,0,0,0,0,9406,2011
"Lancelets amphioxus",0,0,0,0,0,0,0,221,0,0,0,0,221,2011
"Sea pansy",0,3,0,0,1,0,0,0,0,0,0,0,4,2011
"Spiders sea",8,0,0,0,0,0,0,0,0,0,0,0,8,2011
