"",,,,,,,,,,,,,,,,,Total
Species,January,February,March,,April,,May,,June,July,,August,September,October,November,December,Landings
"Skate, longnose","9,688","2,260","15,092","13,369","8,385","12,187","29,527","47,025","20,883","25,669","20,211","8,914","213,210"
"Skate, unspecified",0,0,0,124,"1,722",54,0,0,0,0,0,0,"1,900"
"Smelt, night",682,"8,489","31,529","32,123","97,268","62,717","42,326","5,752",0,0,0,0,"280,886"
"Smelt, surf",0,0,0,0,"1,355",756,0,120,179,0,0,0,"2,410"
"Sole, curlfin",0,0,0,7,0,0,0,88,0,0,0,143,238
"Sole, Dover","243,760","54,086","260,511","297,610","234,372","159,107","345,827","427,624","291,143","405,004","293,468","153,089","3,165,601"
"Sole, English",557,0,45,"9,163","8,580","11,814","26,089","21,826","16,788","8,767","3,968","2,495","110,092"
"Sole, petrale","151,779","16,415","67,810","71,634","61,049","61,095","98,685","89,695","57,903","63,774","63,711","88,296","891,846"
"Sole, rex","6,009",628,"5,907","10,888","15,025","10,333","18,299","22,762","10,102","13,025","8,573","5,640","127,191"
"Sole, rock",0,0,0,0,0,0,0,0,1,0,0,0,1
"Sole, slender",0,0,0,0,0,0,0,5,0,0,0,0,5
"Surfperch, barred",0,0,70,0,0,0,0,0,0,0,0,0,70
"Surfperch, redtail",183,"1,475",895,"1,253",0,0,0,"2,450","1,345",703,738,0,"9,042"
"Surfperch, walleye",0,0,18,0,0,0,0,0,0,0,0,0,18
"Thornyhead, longspine","11,857","1,239","6,127","16,899","31,143",0,"2,199","8,594","20,567","43,531","47,796","27,036","216,988"
"Thornyhead, shortspine","14,361","3,701","14,096","16,108","14,866","3,569","9,305","21,428","15,773","34,187","32,924","21,276","201,594"
Thornyheads,0,0,0,0,0,0,0,7,0,0,0,0,7
"Trawled fish, unspecified","1,254",407,"1,125",863,835,234,0,0,0,0,0,0,"4,718"
"Tuna, albacore",0,0,0,0,0,0,"8,719","24,143","169,108","14,371","1,229","1,150","218,721"
"Tuna, skipjack",0,0,0,0,0,0,0,0,0,244,0,0,244
"Whiting, Pacific",0,0,0,314,0,0,0,0,0,11,11,101,437
CRUSTACEANS,,,,,,,,,,,,,
"Crab, Dungeness","32,798","10,338,720","2,354,515","318,030","280,612","109,843","39,429",0,0,0,0,0,"13,473,947"
"Crab, red rock",0,0,0,0,0,0,0,0,254,0,0,0,254
"Crab, rock unspecified",0,"1,229",0,0,0,0,0,0,0,0,0,0,"1,229"
"Shrimp, coonstriped",0,0,0,0,"15,272","12,432","9,485","10,938","8,713","24,717",0,0,"81,557"
"Shrimp, ocean (pink)",0,0,0,0,"387,244","1,475,482","987,681","1,170,404","852,227","40,316",0,0,"4,913,354"
Species,January,,February,March,,April,,May,June,,,July,August,,September,,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,,
MOLLUSKS,,,,,,,,,,,,,,,,,,,,,
"Octopus, unspecified",0,,0,0,,0,,0,0,,,0,,5,,0,0,,0,0,5
Water Area Total:,"580,377",,"10,439,454","2,886,292",,"973,536",,"1,509,832","2,276,858",,,"2,047,547","2,342,559",,"1,716,426",,"928,998",,"803,524","555,958","27,061,361"
Other Waters,,,,,,,,,,,,,,,,,,,,,
CRUSTACEANS,,,,,,,,,,,,,,,,,,,,,
"Shrimp, ocean (pink)",0,,0,0,,0,,0,0,,,"38,572",,0,,0,0,,0,0,"38,572"
Water Area Total:,0,,0,0,,0,,0,0,,,"38,572",,0,,0,0,,0,0,"38,572"
Waters North of State,,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,,
"Tuna, albacore",0,,0,0,,0,,0,0,,,252,"4,237",,,0,0,,0,0,"4,489"
Water Area Total:,0,,0,0,,0,,0,0,,,252,"4,237",,,0,0,,0,0,"4,489"
Grand Total:,"580,377",,"10,439,454","2,886,292",,"973,536",,"1,509,832","2,276,858",,,"2,086,371","2,346,796",,"1,716,426",,"928,998",,"803,524","555,958","27,104,422"
"",,,,,,,,*******************,,,,Total Records:,,"11,551",,,,,,,
"",,,,,,,,End of Report,,,,,,,,,,,,,
